Code,Id,Name
APISpec,0v3al00000007azAAA,API Specification
OS,0v3al00000007b0AAA,Operating System
TS,0v3al00000007b1AAA,Tech Specs
Server,0v3al00000007b2AAA,Server
Processor,0v3al00000007b3AAA,Processor
Network_Adapter,0v3al00000007b4AAA,Network_Adapter
Hard_Drive,0v3al00000007b5AAA,Hard_Drive
Memory,0v3al00000007b6AAA,Memory
QB,0v3al00000007b7AAA,QuantumBit
SubscriptionType,0v3al00000007b8AAA,SubscriptionType
Professional_Services_Bundle,0v3al00000007b9AAA,Professional_Services_Bundle
Engineering_Resources,0v3al00000007bAAAQ,Engineering_Resources
Cables,0v3al00000007bBAAQ,Cables
