$$ChildProduct.Name$ParentProduct.Name$ProductComponentGroup.Name$ProductRelationshipType.Name,ChildProduct.Name,ChildProductId,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,ChildSellingModelId,DoesBundlePriceIncludeChild,Id,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,Name,ParentProduct.Name,ParentProductId,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ParentSellingModelId,ProductComponentGroup.$$Name$ParentProduct.Name,ProductComponentGroupId,ProductRelationshipType.Name,ProductRelationshipTypeId,Quantity,QuantityScaleMethod,Sequence
Additional API;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional API,01tao000000iPxQAAU,BundleComponent,,,false,0dSao0000001fCQEAY,false,false,true,,,PRC-000000066,QuantumBit Complete Solution,01tao000000iPxRAAU,Bundle,,,Software;QuantumBit Complete Solution,0y7ao00000008U3AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,10,,20
QuantumBit Services Project;QuantumBit Complete Solution;Services;Bundle to Bundle Component Relationship,QuantumBit Services Project,01tao000000iPxIAAU,BundleComponent,,,false,0dSao0000001fCSEAY,false,false,false,,,PRC-000000072,QuantumBit Complete Solution,01tao000000iPxRAAU,Bundle,,,Services;QuantumBit Complete Solution,0y7ao00000008U5AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,,50
QB API Management Solution;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,QB API Management Solution,01tao000000iPy4AAE,BundleComponent,,,false,0dSao0000001fCUEAY,false,false,true,,,PRC-000000061,QuantumBit Complete Solution,01tao000000iPxRAAU,Bundle,,,Software;QuantumBit Complete Solution,0y7ao00000008U3AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,,10
Additional Flows - QB Starter;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Flows - QB Starter,01tao000000iPy5AAE,BundleComponent,,,false,0dSao0000001fCWEAY,false,false,true,,,PRC-000000063,QuantumBit Complete Solution,01tao000000iPxRAAU,Bundle,,,Software;QuantumBit Complete Solution,0y7ao00000008U3AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,5,,40
QuantumBit Fundamentals Training;QuantumBit Complete Solution;Training;Bundle to Bundle Component Relationship,QuantumBit Fundamentals Training,01tao000000iPxsAAE,BundleComponent,,,false,0dSao0000001fCYEAY,false,false,false,,,PRC-000000058,QuantumBit Complete Solution,01tao000000iPxRAAU,Bundle,,,Training;QuantumBit Complete Solution,0y7ao00000008U4AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,20
QuantumBit Essentials Training;QuantumBit Complete Solution;Training;Bundle to Bundle Component Relationship,QuantumBit Essentials Training,01tao000000iPxtAAE,BundleComponent,,,false,0dSao0000001fCaEAI,false,true,false,,,PRC-000000057,QuantumBit Complete Solution,01tao000000iPxRAAU,Bundle,,,Training;QuantumBit Complete Solution,0y7ao00000008U4AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,10
Additional Messages - QB Starter;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Messages - QB Starter,01tao000000iPy6AAE,BundleComponent,,,false,0dSao0000001fCcEAI,false,false,true,,,PRC-000000062,QuantumBit Complete Solution,01tao000000iPxRAAU,Bundle,,,Software;QuantumBit Complete Solution,0y7ao00000008U3AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,5,,30
Professional Services Daily Rate;QuantumBit Complete Solution;Services;Bundle to Bundle Component Relationship,Professional Services Daily Rate,01tao000000iPxuAAE,BundleComponent,,,false,0dSao0000001fCeEAI,false,true,true,,,PRC-000000059,QuantumBit Complete Solution,01tao000000iPxRAAU,Bundle,,,Services;QuantumBit Complete Solution,0y7ao00000008U5AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,250,,10
Additional Data Throughput (TB);QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Data Throughput (TB),01tao000000iPy7AAE,BundleComponent,,,false,0dSao0000001fCgEAI,false,false,true,,,PRC-000000064,QuantumBit Complete Solution,01tao000000iPxRAAU,Bundle,,,Software;QuantumBit Complete Solution,0y7ao00000008U3AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,5,,50
Additional Automation QB Credits;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Automation QB Credits,01tao000000iPxdAAE,BundleComponent,,,false,0dSao0000001fCiEAI,false,false,true,,,PRC-000000065,QuantumBit Complete Solution,01tao000000iPxRAAU,Bundle,,,Software;QuantumBit Complete Solution,0y7ao00000008U3AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,25,,60
Professional Services Scope of Work;QuantumBit Complete Solution;Services;Bundle to Bundle Component Relationship,Professional Services Scope of Work,01tao000000iPxvAAE,BundleComponent,,,true,0dSao0000001fCkEAI,false,false,false,,,PRC-000000060,QuantumBit Complete Solution,01tao000000iPxRAAU,Bundle,,,Services;QuantumBit Complete Solution,0y7ao00000008U5AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,20
API Access Requests (AEH);QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,API Access Requests (AEH),01tao000000iPxjAAE,BundleComponent,,,false,0dSao0000001fCmEAI,false,false,true,,,PRC-000000056,QuantumBit Complete Solution,01tao000000iPxRAAU,Bundle,,,Software;QuantumBit Complete Solution,0y7ao00000008U3AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,100,,70
32GB RDIMM;PowerSwerve R750 Rack Server;Memory Capacity;Bundle to Bundle Component Relationship,32GB RDIMM,01tao000000iPxOAAU,BundleComponent,,,true,0dSao0000001fCoEAI,false,false,false,,,PRC-000000088,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Memory Capacity;PowerSwerve R750 Rack Server,0y7ao00000008U6AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,3
