$$AttributeBasedAdjRule.Name$AttributeDefinition.Name$Product.Name,AttributeBasedAdjRule.Id,AttributeBasedAdjRule.Name,AttributeBasedAdjRuleId,AttributeDefinition.Id,AttributeDefinition.Name,AttributeDefinitionId,BooleanValue,DateTimeValue,DateValue,DoubleValue,Id,IntegerValue,Operator,Product.Id,Product.Name,ProductId,StringValue
Rule_1707506403313;API_Type;Additional API,G9D5Q6JOHROJHI1UKQ,Rule_1707506403313,G9D5Q6JOHROJHI1UKQ,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,,,,,HHVGYEHBFDV0XTROQS,,equals,H4SCHGCSBGSI4VMLPN,Additional API,H4SCHGCSBGSI4VMLPN,Gov
Rule_1707507247714;API_Type;Additional API,FZ6QW8HXZYV7ZPD7D4,Rule_1707507247714,FZ6QW8HXZYV7ZPD7D4,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,,,,,Y7CDKKIXBB2SY3HNHN,,equals,H4SCHGCSBGSI4VMLPN,Additional API,H4SCHGCSBGSI4VMLPN,Gov
Rule_1707507197535;API_Type;Additional API,LKFSDF0LC3SU4YO3MO,Rule_1707507197535,LKFSDF0LC3SU4YO3MO,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,,,,,FTAYVSDGEWT7MSZZG3,,equals,H4SCHGCSBGSI4VMLPN,Additional API,H4SCHGCSBGSI4VMLPN,Flex
Rule_1707507229633;API_Type;Additional API,QELJWSGDZ7KB9N5VAI,Rule_1707507229633,QELJWSGDZ7KB9N5VAI,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,,,,,IFEUV80JSKOFZRQHVW,,equals,H4SCHGCSBGSI4VMLPN,Additional API,H4SCHGCSBGSI4VMLPN,Pre-Prod
Rule_1707507269131;API_Type;Additional API,AKQUSRK1KHRPVPM6KV,Rule_1707507269131,AKQUSRK1KHRPVPM6KV,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,,,,,GERNTUF2CV6J6WB8CR,,equals,H4SCHGCSBGSI4VMLPN,Additional API,H4SCHGCSBGSI4VMLPN,Prod
Rule_1707506330919;API_Type;Additional API,TVQXPUNMUHRBYYK796,Rule_1707506330919,TVQXPUNMUHRBYYK796,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,,,,,6EZ6IYA9KNRCAOFRRC,,equals,H4SCHGCSBGSI4VMLPN,Additional API,H4SCHGCSBGSI4VMLPN,Flex
Rule_1707506369900;API_Type;Additional API,KMBXABDCD3TV4DKK83,Rule_1707506369900,KMBXABDCD3TV4DKK83,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,,,,,LJZFFCLMEHNTG9FMJX,,equals,H4SCHGCSBGSI4VMLPN,Additional API,H4SCHGCSBGSI4VMLPN,Pre-Prod
Rule_1707506456305;API_Type;Additional API,70UZIK4GPNO4L31TU8,Rule_1707506456305,70UZIK4GPNO4L31TU8,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,,,,,ILFDITA9YBWTM7KTBI,,equals,H4SCHGCSBGSI4VMLPN,Additional API,H4SCHGCSBGSI4VMLPN,Prod
Rule_1708046267454;API_Type;Additional API,BPCM7GWWPFBAOEB7TI,Rule_1708046267454,BPCM7GWWPFBAOEB7TI,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,,,,,MUHV9ZQTZUIYPSHNR5,,equals,H4SCHGCSBGSI4VMLPN,Additional API,H4SCHGCSBGSI4VMLPN,Prod
Rule_1708250068983;API_Type;Additional API,0JP6BXFHBAZVWW63LM,Rule_1708250068983,0JP6BXFHBAZVWW63LM,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,,,,,I7N1PWFYEKOO1EH5MJ,,equals,H4SCHGCSBGSI4VMLPN,Additional API,H4SCHGCSBGSI4VMLPN,Prod
Rule_1710899798099;API_Type;Additional API,S9KFHE5YTWGHB9FMQS,Rule_1710899798099,S9KFHE5YTWGHB9FMQS,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,,,,,JNPTPI0TX9DUNP5RPM,,equals,H4SCHGCSBGSI4VMLPN,Additional API,H4SCHGCSBGSI4VMLPN,Flex
