$$AttributeCategory.Name$AttributeDefinition.Name,AttributeCategory.Id,AttributeCategory.Name,AttributeCategoryId,AttributeDefinition.Id,AttributeDefinition.Name,AttributeDefinitionId,Id
Cables;Connector_Type,NDFCUGCT0ALY4AV3U9,Cables,NDFCUGCT0ALY4AV3U9,TNUA8UBSGUUGWKL4YN,Connector_Type,TNUA8UBSGUUGWKL4YN,LA3ZINQFPNW9ATPGC3
Cables;Length,NDFCUGCT0ALY4AV3U9,Cables,NDFCUGCT0ALY4AV3U9,8ZV9VS3E5TQSAMDESS,Length,8ZV9VS3E5TQSAMDESS,LN5JUGNPTEIJCR95OW
API Specification;API_Type,GMA0GQJWTMYYMUQDUZ,API Specification,GMA0GQJWTMYYMUQDUZ,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,4BAB0ZFKNTQJ0AO15U
Tech Specs;Base_Core_Count,4HGWDQKKTIHMSTUCX1,Tech Specs,4HGWDQKKTIHMSTUCX1,O6YDQUYMZSISXUUJYU,Base_Core_Count,O6YDQUYMZSISXUUJYU,AG54YGVKGA7GJ1GRQT
Operating System;Operating_System,SK04UD7PTE5SFODRWM,Operating System,SK04UD7PTE5SFODRWM,GIXSECOCZM601K3IZ2,Operating_System,GIXSECOCZM601K3IZ2,URWNHXFQJYBWUI335P
Engineering Resources;Resource_Location,RJEKTNNZOWN0GF8WNU,Engineering Resources,RJEKTNNZOWN0GF8WNU,6U3JRYK0NGSGXYLCPG,Resource_Location,6U3JRYK0NGSGXYLCPG,LZ6JFP4OEUCUB5FKZR
Hard Drive;HDD_Storage,UW7CFPFHZHECUQNYCY,Hard Drive,UW7CFPFHZHECUQNYCY,M1HI5UHM1WPGS86RCL,HDD_Storage,M1HI5UHM1WPGS86RCL,EKWIKLZQIHLC6CDYPB
Processor;Processor_Frequency,WMNNXZXCRZWBHF1FN3,Processor,WMNNXZXCRZWBHF1FN3,C12JRUQ2NL047JTQ8J,Processor_Frequency,C12JRUQ2NL047JTQ8J,OFESRWIRWAJD8Q7SJ5
Network Adapter;NIC_Type,JPHC6SCKHWCAOUUAAH,Network Adapter,JPHC6SCKHWCAOUUAAH,JJYMF4ANQFQWW2FAPG,NIC_Type,JJYMF4ANQFQWW2FAPG,HER0YGGZ0Q6CGGKOV9
Subscription Type;SubscriptionType,QRR0D5AYIWR8YUK3LU,Subscription Type,QRR0D5AYIWR8YUK3LU,MPHNTB3HR1QJNIONAL,SubscriptionType,MPHNTB3HR1QJNIONAL,MZ8JXJGTQV6HB8IXYV
QuantumBit;Flows,NUFO4IWMZBXLCU9DGV,QuantumBit,NUFO4IWMZBXLCU9DGV,S0ZUQ6VLWI57GBQKQG,Flows,S0ZUQ6VLWI57GBQKQG,BGPXYHHQ3NGIHDPEEK
QuantumBit;Data_Throughput_TB,NUFO4IWMZBXLCU9DGV,QuantumBit,NUFO4IWMZBXLCU9DGV,5I1CIJIQBNURZYVHA0,Data_Throughput_TB,5I1CIJIQBNURZYVHA0,ANTMNWCMFL712AW34W
QuantumBit;Messages_Million,NUFO4IWMZBXLCU9DGV,QuantumBit,NUFO4IWMZBXLCU9DGV,L3VOB5G3T9XJ3F3BLY,Messages_Million,L3VOB5G3T9XJ3F3BLY,0PQZWDBQHB8VHKHEPH
Server;Server_Configuration,NMC662ZUIAUGUPMQQ5,Server,NMC662ZUIAUGUPMQQ5,PIPDPE1EUZWZE0SKYG,Server_Configuration,PIPDPE1EUZWZE0SKYG,DAUPKBCGQNXFJ8SBOC
Engineering Resources;Engineering_Options,RJEKTNNZOWN0GF8WNU,Engineering Resources,RJEKTNNZOWN0GF8WNU,WDQWEYFSDV9JULRWIX,Engineering_Options,WDQWEYFSDV9JULRWIX,FJQKGPCERHFLAJBQL3
Professional Services Bundle;Notes_and_Assumptions,7WNSJWUCZLZSUBUVSG,Professional Services Bundle,7WNSJWUCZLZSUBUVSG,WBJSL9IDD783UNVPSG,Notes_and_Assumptions,WBJSL9IDD783UNVPSG,EGA7QR1PO09WPLZK89
Memory;Memory_Capacity,ZYXAKFBIRALPZIO4XZ,Memory,ZYXAKFBIRALPZIO4XZ,2W1OH5K8GG7TPZPMWZ,Memory_Capacity,2W1OH5K8GG7TPZPMWZ,UXUMUHJ4RATJ4YYYGG
Memory;Memory_Config,ZYXAKFBIRALPZIO4XZ,Memory,ZYXAKFBIRALPZIO4XZ,F6MULJ9ZLWZVK3LLNE,Memory_Config,F6MULJ9ZLWZVK3LLNE,TYGPIBDRHDX7NDJSB8
