Code,Id,Name
OS,SK04UD7PTE5SFODRWM,Operating System
TS,4HGWDQKKTIHMSTUCX1,Tech Specs
Server,NMC662ZUIAUGUPMQQ5,Server
APISpec,GMA0GQJWTMYYMUQDUZ,API Specification
Processor,WMNNXZXCRZWBHF1FN3,Processor
Network_Adapter,JPHC6SCKHWCAOUUAAH,Network Adapter
Hard_Drive,UW7CFPFHZHECUQNYCY,Hard Drive
Memory,ZYXAKFBIRALPZIO4XZ,Memory
QB,NUFO4IWMZBXLCU9DGV,QuantumBit
SubscriptionType,QRR0D5AYIWR8YUK3LU,Subscription Type
Professional_Services_Bundle,7WNSJWUCZLZSUBUVSG,Professional Services Bundle
Engineering_Resources,RJEKTNNZOWN0GF8WNU,Engineering Resources
Cables,NDFCUGCT0ALY4AV3U9,Cables
