Code,DataType,DefaultValue,Description,DeveloperName,Id,IsActive,Label,Name,Picklist.Id,Picklist.Name,PicklistId
Connector_Type,Picklist,,,Connector_Type,TNUA8UBSGUUGWKL4YN,true,Connector Type,Connector_Type,JEIFIPH4TI0X1ESB7Q,Connector_Type,JEIFIPH4TI0X1ESB7Q
Base_Core_Count,Picklist,4,,Base_Core_Count,O6YDQUYMZSISXUUJYU,true,Base Core Count,Base_Core_Count,UWLENKCLJNVKSRC6MJ,Base_Core_Count,UWLENKCLJNVKSRC6MJ
API_Type,Picklist,Flex,,API_Type,XZZ7B6XUIAM2FQ3BIM,true,API Type,API_Type,FIJA9PXEYPEATPBF4F,API_Type,FIJA9PXEYPEATPBF4F
Length,Picklist,,,Length,8ZV9VS3E5TQSAMDESS,true,Length,Length,4WJLE8CBGU2BIQERFK,Length,4WJLE8CBGU2BIQERFK
Operating_System,Picklist,Amazon Linux 2,,Operating_System,GIXSECOCZM601K3IZ2,true,Operating System,Operating_System,YW0TFXR2CUGZJQGR5Y,Operating_System,YW0TFXR2CUGZJQGR5Y
Server_Configuration,Picklist,Security,,Server_Configuration,PIPDPE1EUZWZE0SKYG,true,Server_Configuration,Server_Configuration,MIN5JEEZERKDIJQ0BZ,Server_Configuration,MIN5JEEZERKDIJQ0BZ
Resource_Location,Picklist,Onsite,,Resource_Location,6U3JRYK0NGSGXYLCPG,true,Resource_Location,Resource_Location,FPCIBKDCT2JXCU1S7T,Resource_Location,FPCIBKDCT2JXCU1S7T
Processor_Frequency,Picklist,3.2GHz,,Processor_Frequency,C12JRUQ2NL047JTQ8J,true,Processor_Frequency,Processor_Frequency,EKPSDYQATNFS4E4TAI,Processor_Frequency,EKPSDYQATNFS4E4TAI
SubscriptionType,Picklist,,,SubscriptionType,MPHNTB3HR1QJNIONAL,true,SubscriptionType,SubscriptionType,TXQNXE96URP5F7NPXQ,SubscriptionType,TXQNXE96URP5F7NPXQ
Engineering_Options,Picklist,Extended_Care,,Engineering_Options,WDQWEYFSDV9JULRWIX,true,Engineering_Options,Engineering_Options,MXBADI0NOGGS58SB7P,Engineering_Options,MXBADI0NOGGS58SB7P
Memory_Config,Picklist,Performance_Optimized,,Memory_Config,F6MULJ9ZLWZVK3LLNE,true,Memory_Config,Memory_Config,6IZRMCGLYEFCH6AYWY,Memory_Config,6IZRMCGLYEFCH6AYWY
Memory_Capacity,Picklist,8GB,,Memory_Capacity,2W1OH5K8GG7TPZPMWZ,true,Memory_Capacity,Memory_Capacity,B2FKBZIMMLHAWMG3BN,Memory,B2FKBZIMMLHAWMG3BN
NIC_Type,Picklist,Direct_Attach,,NIC_Type,JJYMF4ANQFQWW2FAPG,true,NIC_Type,NIC_Type,6YFXMHTE5KZS003LT2,NIC_Type,6YFXMHTE5KZS003LT2
HDD_Storage,Picklist,1TB,,HDD_Storage,M1HI5UHM1WPGS86RCL,true,HDD_Storage,HDD_Storage,M28RH1N6T0H0OQSW9G,HDD_Storage,M28RH1N6T0H0OQSW9G
Flows,Number,1000,,Flows,S0ZUQ6VLWI57GBQKQG,true,Flows,Flows,,,
Messages_Million,Number,60,,Messages_Million,L3VOB5G3T9XJ3F3BLY,true,Messages (Million),Messages_Million,,,
Data_Throughput_TB,Number,0,,Data_Throughput_TB,5I1CIJIQBNURZYVHA0,true,Data Throughput (TB),Data_Throughput_TB,,,
Notes_and_Assumptions,Text,,,Notes_and_Assumptions,WBJSL9IDD783UNVPSG,true,Notes_and_Assumptions,Notes_and_Assumptions,,,
