AvailabilityDate,BasedOn.Name,BasedOnId,ConfigureDuringSale,CurrencyIsoCode,Description,Family,Id,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,StockKeepingUnit,Type
,,,,USD,QuantumBit API Experience Hub enables you to create vibrant ecosystems and grow engagement for your API products,Software,PJUIJPP4W3GJFYHGBK,true,true,false,API Access Requests (AEH),QB-API-REQT,,,
,,,,USD,These accessories offer the proper cable management options to meet varying needs.,Hardware,FMKSTFHVYFCQNJZ4F1,true,true,false,Cable Management Rings (Qty 10),QB-CMPC-5881,,,
,,,,USD,These accessories offer the proper cable management options to meet varying needs.,Hardware,BV9HNE3QMMYTRQQG7U,true,true,false,"Vertical Cable Organizer, 8 Cable Rings",QB-CMPC-5882,,,
,,,,USD,These accessories offer the proper cable management options to meet varying needs.,Hardware,JLEQKGSUDZSBGO4KAM,true,true,false,Cable Containment Brackets,QB-CMPC-5884,,,
,,,,USD,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 6 rack units (U's) for a vertical storage rack.",Hardware,VBEDXRFZ0ZLPIUFARA,true,true,false,QuantumShell 6U 600mmx870mm,QB-BMX-1051,,,
,,,,USD,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 8 rack units (U's) for a vertical storage rack.",Hardware,Z12JFYSLXBJKAJ8CPD,true,true,false,QuantumShell 8U 600mmx1070mm,QB-BMX-1050,,,
,,,,USD,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 10 rack units (U's) for a vertical storage rack.",Hardware,DCIXHOBIA47D9FLBUC,true,true,false,QuantumShell 10U 600mmx1200mm,QB-BMX-1053,,,
,,,Allowed,USD,The Starter Edition is the introductory offering providing access to core platform functionality. This edition includes all core platform functionality with ...,Bundle,RYIQFWNBU0EKF5TF7O,true,true,false,QuantumBit Starter,QB-BDL-STND,,,Bundle
,Processor,EQZYZX7YTQ06FGRS8H,Allowed,USD,"Intel Xeon E5-2660 v4 2.0GHz,35M Cache,9.60GT/s QPI,Turbo,HT,14C/28T (105W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",Hardware,EDMGKFBLPWJSEFFQ2V,true,true,false,Intel Xeon E5-2660 v4 2.0GHz,QB-INTEL E5-2660,Each,,
,Processor,EQZYZX7YTQ06FGRS8H,Allowed,USD,"Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",Hardware,5RQH7JQ7WY95Y4Y3FC,true,true,false,Intel Xeon E5-2667 v4 3.2GHz,QB-INTEL E5-2667,,,
,Processor,EQZYZX7YTQ06FGRS8H,Allowed,USD,"Intel Xeon E5-2683 v4 2.1GHz,40M Cache,9.60GT/s QPI,Turbo,HT,16C/32T (120W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",Hardware,BBYMB74LXXODQN1RRU,true,true,false,Intel Xeon E5-2683 v4 2.1GHz,QB-INTEL E5-2683,Each,,
,Memory,GZAMVAXV6VEAZQFM0V,Allowed,USD,32GB RDIMM,Hardware,6WIQTIAKMIU2BVHZFQ,true,true,false,32GB RDIMM,QB-MEM 32GB,Each,,
,Hard_Drive,DDEYJTOXJJ6UHZ4SWZ,Allowed,USD,1TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,Hardware,JRRQEMB2GEWL045WVW,true,true,false,1TB 7.2k RPM NLSAS,QB-HD 1TB,Each,,
,API Type,LZ2OCBNUVE0ECHGB6Q,Allowed,USD,,Software,H4SCHGCSBGSI4VMLPN,true,true,false,Additional API,AddAPI,,,
,QuantumBit2,BF7RPUQCSGBPSZIYRI,Allowed,USD,QuantumBit Complete Solution,Bundle,LISQH1OBWZUZGML4JX,true,true,false,QuantumBit Complete Solution,QBCOMPLETE,,,Bundle
,Hard_Drive,DDEYJTOXJJ6UHZ4SWZ,Allowed,USD,4TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,Hardware,ZRAY7C6QRLL6LHXITE,true,true,false,4TB 7.2k RPM NLSAS,QB-HD 4TB,Each,,
,Memory,GZAMVAXV6VEAZQFM0V,Allowed,USD,8GB RDIMM,Hardware,6PTBZCBA0G1VB87IP6,true,true,false,8GB RDIMM,QB-MEM 8GB,Each,,
,Network_Adapter,ZWB0H94TOJKJGCAVVL,Allowed,USD,Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.,Hardware,W07SQOFBRJDCYLSLA7,true,true,false,Intel X710 Dual Port 10Gb Direct Attach,QB-NET X710,Each,,
,Cables,UOMRQ0RHKKHP2JWIFX,Allowed,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,TUOP5GGDP0NZ7UQZHE,true,true,false,C13 to C14 Power Cable 3',QB-CMPC-5887,,,
,,,,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,9AJDNEY5H2KYMIBXKQ,true,true,false,C13 to C14 Power Cable 5',QB-CMPC-5888,,,
,,,,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,MALDVSIGLEBIIVCSLO,true,true,false,C19 to C20 Power Cable 3',QB-CMPC-5889,,,
,,,,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,YRP8HUA0JJHTOBFKLU,true,true,false,C19 to C20 Power Cable 5',QB-CMPC-5890,,,
,,,,USD,The 12' Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,LYRWHMDMNXLAZ2BQIT,true,true,false,L5-20 Input Power Cable 12',QB-CMPC-5891,,,
,,,,USD,The 8' Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,UUATP4S6SQZJOBRDPX,true,true,false,L5-20 Input Power Cable 8',QB-CMPC-5892,,,
,,,,USD,"System maintenance, administration, and configuration performed by a certified technician. Also includes 24x7 phone service and monthly on-site check-ups. 20% of hardware.",Services,BO4F6YXNRWS3UHUDOL,true,true,false,Gold Hardware Maintenance,QB-SUPP-1005,,,
,,,,USD,"System maintenance, administration, and configuration performed by a certified technician. 15% of hardware.",Services,SATBVJEK2BGV25R4YB,true,true,false,Silver Hardware Maintenance,QB-SUPP-1000,,,
,,,,USD,"Your QuantumBit Automation subscription plan includes a quota of Automation QB Credits that you can use with QB RPA, QB Orchestrator, or a combination of both products. As you use processes to create automations, your total credit quota is depleted. 1 QB Automation Credit = 2 RPA Bot Minutes, 1 QB Automation Credit = 100 RPA API Calls, 1 QB Automation Credit = 50 Orchestrator Tasks",Software,FMQVQ77IY3K9M2NDXT,true,true,false,Additional Automation QB Credits,QB-AUT-CRED,,,
,,,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,Software,AOGBR80WB54F3PBSXO,true,true,false,Additional API Prod,QB-API-PROD,,,
,,,,USD,The Enterprise Edition is for companies with large-scale data initiatives looking for more granular enterprise controls. This edition includes all Starter Edition features plus ...,Bundle,NW4RRZVKRHZUJSQUIM,true,true,false,QuantumBit Enterprise,QB-BDL-ENTR,,,
,,,,USD,"The Business Critical Edition offers specialized functionality for highly regulated industries, especially those with sensitive data. The edition includes all features in the Enterprise Edition plus ...",Bundle,BOVQIGYQ5KKAYKHYUQ,true,true,false,QuantumBit Business Critical,QB-BDL-CRTL,,,
,,,,USD,"With our Fundamentals Training you will read, watch videos, and participate in activities aimed to give hands-on experience with the basics of the tool.",Services,O9KVYGM1LOBYQPYYOB,true,true,false,QuantumBit Fundamentals Training,QB-TRN-FUND,,,
,,,,USD,"With our Essentials Training, you'll get access to live webinars, self-paced learning modules, and powerful analysis tools.",Services,TTQSYYKHIGJVBBBC12,true,true,false,QuantumBit Essentials Training,QB-TRN-ESSNTLS,,,
,,,,USD,Professional services option to be priced on a per-day basis.,Services,JJOWOX6VTRDNZKLRNL,true,true,false,Professional Services Daily Rate,QB-SRV-OG-PSH,,,
,,,,USD,Implementation managed by in-house professional services with an agreed upon scope of work.,Services,ZMOAEI6YVI5NWJQEZK,true,true,false,Professional Services Scope of Work,QB-SRV-SOW,,,
,Processor,EQZYZX7YTQ06FGRS8H,Allowed,USD,"Intel Xeon E5-2609 v4 1.7GHz,20M Cache,6.4GT/s QPI,Turbo,HT 8C/8T (85W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",Hardware,KPSNWFN2YSMF6QH7XL,true,true,false,Intel Xeon E5-2609 v4 1.7GHz,QB-INTEL E5-2609,,,
,Server,O1YGOEC03S5HBGB5ZQ,Allowed,USD,"The PowerSwerve server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost.",Bundle,JU2FWEY6BI19Q2HDDQ,true,true,false,PowerSwerve R750 Rack Server,QB-BDL-R750,Each,,Bundle
2024-02-01T20:00:00.000+0000,Subscription,YYFRRFWM1LBF0KUCNT,Allowed,USD,Test Subscription Product,Software,H2C0S9HDIOAOUVOKC6,true,true,false,Subscription,SUB,Each,SUB,
,Memory,GZAMVAXV6VEAZQFM0V,Allowed,USD,16GB RDIMM,Hardware,YAMVDNP6ZHLQTHFC6R,true,true,false,16GB RDIMM,QB-MEM 16GB,Each,,
,Hard_Drive,DDEYJTOXJJ6UHZ4SWZ,Allowed,USD,8TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,Hardware,U7S3OIV8RRVX1AP2XK,true,true,false,8TB 7.2k RPM NLSAS,QB-HD 8TB,Each,,
,Hard_Drive,DDEYJTOXJJ6UHZ4SWZ,Allowed,USD,"8TB 7.2k RPM Self-Encrypting NLSAS 12Gps 3.5 in - Performing like any other hard drive, with the encryption being completely transparent or invisible to the user.",Hardware,BHCNX1DUZOTFYKIFN9,true,true,false,8TB 7.2k RPM Self-Encrypting NLSAS,QB-HD 8TBSE,Each,,
,Network_Adapter,ZWB0H94TOJKJGCAVVL,Allowed,USD,Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.,Hardware,JZBQPO44HRAQGPFBDY,true,true,false,Intel X710 Dual Port 10Gb SFP,QB-BET X710SFP,Each,,
,Professional_Services_Bundle,KK4DL89MT1R4VLYNLP,Allowed,USD,"Custom Implementation managed by in-house professional services, charged on a Time and Material basis.",Bundle,QOOCYUCGGZ6BJDGEBR,true,true,false,QuantumBit Services Project,QB-BDL-SRVC,,,Bundle
,Cables,UOMRQ0RHKKHP2JWIFX,Allowed,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,K7LJAYQXKMZ5Q9ZNYY,true,true,false,Configured Power Cable,QB-CMPC-5887,,,
,,,,USD,"Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.",Hardware,QOEDGWXZTAH28QSPYO,true,true,false,TX 600mm/750mm Stabilizer Plate,QB-BSSA-4303,,,
,,,,USD,"Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.",Hardware,DBRGG3UB3BLPNIETMS,true,true,false,TX Bolt-Down Kit,QB-BSSA-4304,,,
,,,,USD,"Rack PDU 30A, 120V L5-20 input 5-20 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,VNSJQJKYDYO3SQKDX7,true,true,false,"Rack PDU 30A, 120V L5-20",QB-PDU-2023,,,
,,,,USD,"Rack PDU 15A, 120V L5-20 input 5-20 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,JGWBXSRUVIMW5ZA8G3,true,true,false,"Rack PDU 15A, 120V L5-20",QB-PDU-2024,,,
,,,,USD,"Rack PDU 20A, 230V C20 input C19 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,3HANMYSACLXC9L57SJ,true,true,false,"Rack PDU 20A, 230V C20 input C1",QB-PDU-2025,,,
,,,,USD,Rack PDU 10A 230V C20 input C19 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.,Hardware,7RMKCGAUREL6B5I6M3,true,true,false,"Rack PDU 10A, 230V C20 input C19",QB-PDU-2026,,,
,,,,USD,Rack PDU 16A 230V C20 input C13 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.,Hardware,CE6ICLMFMUCIRSYUYN,true,true,false,"Rack PDU 16A, 230V, C13 output",QB-PDU-2027,,,
,,,,USD,"Rack PDU 14.4kW, 208V, 3 phase CS8365 input C13 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,MNWNBIONFIGX7LVAGS,true,true,false,"Rack PDU 14.4kW, 208V, C13 output",QB-PDU-2028,,,
,,,,USD,"Rack PDU 5.7W, 208V, 3 phase CS8365 input C13 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,YS8WVHEAZRGEFJJE6M,true,true,false,"Rack PDU 5.7W, 208V, C13 output",QB-PDU-2029,,,
,,,,USD,No Operating System,None,VWRUN60GZNTICY9ATZ,true,true,false,No Operating System,QB-NO-OSYS,,,
,,,,USD,vSphere Standard provides an entry solution for basic consolidation of applications to slash hardware costs while accelerating application deployment.,3rd Party Software,FUC4QOOWDUMMNVPUQC,true,true,false,vSphere Standard,QB-VMW-S,,,
,,,,USD,"vSphere Enterprise includes the full range of vSphere features for transforming datacenters into dramatically simplified cloud computing environments providing the next generation of flexible, reliable IT services.",3rd Party Software,W35VEM9W1EWIGGVPNQ,true,true,false,vSphere Enterprise,QB-VMW-E,,,
,,,,USD,Installation and Assembly of a QuantumBit Rack by a Certified technician.,Services,J1V3APHA684S1DISPY,true,true,false,Installation and Assembly,QB-INST-1000,,,
,,,,USD,Professional services billed at the end of each month based on consumed hours.,Services,6SQGHL4BKZ0VGHDKSM,true,true,false,Professional Service Hours (Consumption),QB-SRV-OG-PSHC,,,
,,,,USD,"Red Hat Enterprise Linux delivers military-grade security, 99.999% uptime, support for business-critical workloads.",3rd Party Software,TYLTJRMIX6CCWGNXLF,true,true,false,Red Hat Enterprise Linux,QB-REDHAT,,,
,,,,USD,"vSphere Desktop can be used to power virtual desktops, as well as the underlying infrastructure for the VDI environment.",3rd Party Software,5CKXJJN9LNKKCPRDVW,true,true,false,vSphere Desktop,QB-VMW-D,,,
,,,,USD,"Upgrade, Bug Fixes, and Patched for Perpetual Licenses.
Early Access to BETA Releases. Upgrade and Patch Assistance. 20% of Licensing",Services,WYBQPRVMISDIMVADVK,true,true,false,Software Maintenance,QB-SUPP-2000,,,
,,,,USD,"QuantumBit apps process messages and other parts of QB events through components, connectors, and modules that are set up within the scope of Flow and Subflow components within an app.",Software,690WBIMDUD1NXBHPDH,true,true,false,Additional Flows - QB Enterprise,QB-FLO-ENTR,,,
,,,,USD,"QB Sync is a multi-tenant, cloud-based message queuing service for exchanging data asynchronously between your applications. The QB sync messaging broker enables applications to communicate by publishing a QB message to a queue so that another app can consume the message.",Software,GYYIBK8FDXW8MME3E7,true,true,false,Additional Messages - QB Enterprise,QB-MSG-ENTR,,,
,,,,USD,"Rack PDU 20A, 120V L5-20 input 5-20 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,2NA5A0Q6SAD0DE2AWE,true,true,false,"Rack PDU 20A, 120V L5-20",QB-PDU-2022,,,
,,,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,Software,NFA4ESHHRIQT6T4XYT,true,true,false,Additional API Pre-Prod,QB-API-PREP,,,
,,,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,Software,Y1RGHWYDTBSHEBON2G,true,true,false,Additional API Gov,QB-API-GOVT,,,
,,,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,Software,1NUWLTQ5PMXWFD4ISD,true,true,false,Additional API Flex (100M),QB-API-FLEX,,,
,,,,USD,"With QuantumBit DataGraph, you can reuse multiple APIs in a single request. Enterprise architects can easily unify APIs into one data service — all without writing more code. Developers can consume multiple APIs from the data service in a single GraphQL request.",Software,RMBYPHHDN8BIBMCLJP,true,true,false,Additional QB DataGraph (500M),QB-DAT-GRPH,,,
,,,,USD,"The Program Director provides executive leadership, subject matter expertise, and program oversight.",Services,4M7QRJMIJBOJV5VLP8,true,true,false,Program Director,QB-SRV-PD,,,
,,,,USD,Our Solution Architects are responsible for analyzing customer requirements and designing the optimal solution capabilities.,Services,VBMFGCZ4ZIEHPFC4WH,true,true,false,Solutions Architect,QB-SRV-SAT,,,
