$$ProductCategory.Name$Product.Name$Catalog.Name,Catalog.Id,Catalog.Name,CatalogId,CurrencyIsoCode,Id,Product.Id,Product.Name,ProductCategory.$$Name$Catalog.Name$ParentCategory.Name,ProductCategory.Id,ProductCategoryId,ProductId
API;API Access Requests (AEH);Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,USD,M1H4KITBG9ESMQXQMQ,PJUIJPP4W3GJFYHGBK,API Access Requests (AEH),API;Software,ZZO0XIRR4VTN95UPJE,ZZO0XIRR4VTN95UPJE,PJUIJPP4W3GJFYHGBK
Accessories;Cable Management Rings (Qty 10);Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,2UFP5FRBKBRSX8QCEB,FMKSTFHVYFCQNJZ4F1,Cable Management Rings (Qty 10),Accessories;Hardware,EMIV6CUH5DUMHAM1MP,EMIV6CUH5DUMHAM1MP,FMKSTFHVYFCQNJZ4F1
"Accessories;Vertical Cable Organizer, 8 Cable Rings;Hardware",MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,N9XYCGVC81RUE66EAN,BV9HNE3QMMYTRQQG7U,"Vertical Cable Organizer, 8 Cable Rings",Accessories;Hardware,EMIV6CUH5DUMHAM1MP,EMIV6CUH5DUMHAM1MP,BV9HNE3QMMYTRQQG7U
Accessories;Cable Containment Brackets;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,6VHOSDWTHBBEHOLTDC,JLEQKGSUDZSBGO4KAM,Cable Containment Brackets,Accessories;Hardware,EMIV6CUH5DUMHAM1MP,EMIV6CUH5DUMHAM1MP,JLEQKGSUDZSBGO4KAM
Accessories;QuantumShell 6U 600mmx870mm;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,AFW6SATTT9G38I1QA6,VBEDXRFZ0ZLPIUFARA,QuantumShell 6U 600mmx870mm,Accessories;Hardware,EMIV6CUH5DUMHAM1MP,EMIV6CUH5DUMHAM1MP,VBEDXRFZ0ZLPIUFARA
Accessories;QuantumShell 8U 600mmx1070mm;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,UVTWHRPOCVHKALUE5J,Z12JFYSLXBJKAJ8CPD,QuantumShell 8U 600mmx1070mm,Accessories;Hardware,EMIV6CUH5DUMHAM1MP,EMIV6CUH5DUMHAM1MP,Z12JFYSLXBJKAJ8CPD
Accessories;QuantumShell 10U 600mmx1200mm;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,YB8M0VXBJEZPNGL6CN,DCIXHOBIA47D9FLBUC,QuantumShell 10U 600mmx1200mm,Accessories;Hardware,EMIV6CUH5DUMHAM1MP,EMIV6CUH5DUMHAM1MP,DCIXHOBIA47D9FLBUC
Bundle;QuantumBit Enterprise;Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,USD,WZCAKYSDJAPSKCRAZF,NW4RRZVKRHZUJSQUIM,QuantumBit Enterprise,Bundle;Software,RQJJB2IXMBSRD5SNOF,RQJJB2IXMBSRD5SNOF,NW4RRZVKRHZUJSQUIM
Bundle;QuantumBit Business Critical;Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,USD,NBU4ZNH2449CEQIFI0,BOVQIGYQ5KKAYKHYUQ,QuantumBit Business Critical,Bundle;Software,RQJJB2IXMBSRD5SNOF,RQJJB2IXMBSRD5SNOF,BOVQIGYQ5KKAYKHYUQ
Training;QuantumBit Fundamentals Training;Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,USD,TWRVY4OGVJURK0Q2AN,O9KVYGM1LOBYQPYYOB,QuantumBit Fundamentals Training,Training;Software,1EIBOY3RBGT07QB8DG,1EIBOY3RBGT07QB8DG,O9KVYGM1LOBYQPYYOB
Training;QuantumBit Essentials Training;Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,USD,ZCTFYCOEORFGUUIV8S,TTQSYYKHIGJVBBBC12,QuantumBit Essentials Training,Training;Software,1EIBOY3RBGT07QB8DG,1EIBOY3RBGT07QB8DG,TTQSYYKHIGJVBBBC12
Services;Professional Services Daily Rate;Services,JEHVLCCE9GUMHYPC3C,Services,JEHVLCCE9GUMHYPC3C,USD,CSOWHJFGIYTJ5JWGOS,JJOWOX6VTRDNZKLRNL,Professional Services Daily Rate,Services;Services,MU2CPIW4MXNSJHNF9V,MU2CPIW4MXNSJHNF9V,JJOWOX6VTRDNZKLRNL
Services;Professional Services Scope of Work;Services,JEHVLCCE9GUMHYPC3C,Services,JEHVLCCE9GUMHYPC3C,USD,FDG0ISDJNXFTEYRIRK,ZMOAEI6YVI5NWJQEZK,Professional Services Scope of Work,Services;Services,MU2CPIW4MXNSJHNF9V,MU2CPIW4MXNSJHNF9V,ZMOAEI6YVI5NWJQEZK
Processor;Intel Xeon E5-2609 v4 1.7GHz;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,8HSF6XHF3ZT7YQXMW6,KPSNWFN2YSMF6QH7XL,Intel Xeon E5-2609 v4 1.7GHz,Processor;Hardware,PGO0NET20ON677YTWS,PGO0NET20ON677YTWS,KPSNWFN2YSMF6QH7XL
Server;PowerSwerve R750 Rack Server;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,XNVMSRATF7G0U524UX,JU2FWEY6BI19Q2HDDQ,PowerSwerve R750 Rack Server,Server;Hardware,ZOQZ3TZ0UEZBKWAYCJ,ZOQZ3TZ0UEZBKWAYCJ,JU2FWEY6BI19Q2HDDQ
Subscription;Subscription;Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,USD,Q8EXLDOFXZV3MJHQTZ,H2C0S9HDIOAOUVOKC6,Subscription,Subscription;Software,UJH2DXJSEIXL7RJVYI,UJH2DXJSEIXL7RJVYI,H2C0S9HDIOAOUVOKC6
Memory;16GB RDIMM;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,HSTROJY3COR7H8NHAD,YAMVDNP6ZHLQTHFC6R,16GB RDIMM,Memory;Hardware,I4JWXS9LZUQTVOPERB,I4JWXS9LZUQTVOPERB,YAMVDNP6ZHLQTHFC6R
Hard Drive;8TB 7.2k RPM NLSAS;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,7HMQ0ZIFHC9PMPUHNZ,U7S3OIV8RRVX1AP2XK,8TB 7.2k RPM NLSAS,Hard Drive;Hardware,V4SI25SXSJWY4CNAZR,V4SI25SXSJWY4CNAZR,U7S3OIV8RRVX1AP2XK
Hard Drive;8TB 7.2k RPM Self-Encrypting NLSAS;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,EORPT2M7ZGQVLBB47O,BHCNX1DUZOTFYKIFN9,8TB 7.2k RPM Self-Encrypting NLSAS,Hard Drive;Hardware,V4SI25SXSJWY4CNAZR,V4SI25SXSJWY4CNAZR,BHCNX1DUZOTFYKIFN9
Network Adapter;Intel X710 Dual Port 10Gb SFP;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,756CF4UCDSXTZ8USWL,JZBQPO44HRAQGPFBDY,Intel X710 Dual Port 10Gb SFP,Network Adapter;Hardware,8KX5QEL2RV7OLZFNQX,8KX5QEL2RV7OLZFNQX,JZBQPO44HRAQGPFBDY
Services;QuantumBit Services Project;Services,JEHVLCCE9GUMHYPC3C,Services,JEHVLCCE9GUMHYPC3C,USD,VYMG87EBXI3MYL9Z9D,QOOCYUCGGZ6BJDGEBR,QuantumBit Services Project,Services;Services,MU2CPIW4MXNSJHNF9V,MU2CPIW4MXNSJHNF9V,QOOCYUCGGZ6BJDGEBR
Accessories;Configured Power Cable;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,USD,T75AJZKZKMZWVLKHQ6,K7LJAYQXKMZ5Q9ZNYY,Configured Power Cable,Accessories;Hardware,EMIV6CUH5DUMHAM1MP,EMIV6CUH5DUMHAM1MP,K7LJAYQXKMZ5Q9ZNYY
Bundle;QuantumBit Starter;Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,USD,IVGWZ6SROWAQUCK8Z1,RYIQFWNBU0EKF5TF7O,QuantumBit Starter,Bundle;Software,RQJJB2IXMBSRD5SNOF,RQJJB2IXMBSRD5SNOF,RYIQFWNBU0EKF5TF7O
