$$Name$Catalog.Name$ParentCategory.Name,Catalog.Id,Catalog.Name,CatalogId,Code,Description,Id,Name,ParentCategory.$$Name$Catalog.Name$ParentCategory.Name,ParentCategoryId,SortOrder
Bundle;Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,,,RQJJB2IXMBSRD5SNOF,Bundle,,,10
Accessories;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,,,EMIV6CUH5DUMHAM1MP,Accessories,,,
Licenses;Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,,,YNULG0YQAGNYA2H6MP,Licenses,,,30
Training;Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,,,1EIBOY3RBGT07QB8DG,Training,,,40
Maintenance;Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,,,SF9YFFPWBZ7GYX1ICZ,Maintenance,,,50
Hardware Maintenance;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,,,A9QELZ1JV9D9KU4RQY,Hardware Maintenance,,,
Memory;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,,,I4JWXS9LZUQTVOPERB,Memory,,,
Network Adapter;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,,,8KX5QEL2RV7OLZFNQX,Network Adapter,,,
Processor;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,,,PGO0NET20ON677YTWS,Processor,,,
Hard Drive;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,,,V4SI25SXSJWY4CNAZR,Hard Drive,,,
Subscription;Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,,,UJH2DXJSEIXL7RJVYI,Subscription,,,100
Services;Services,JEHVLCCE9GUMHYPC3C,Services,JEHVLCCE9GUMHYPC3C,,,MU2CPIW4MXNSJHNF9V,Services,,,
Server;Hardware,MHEYHUFMW5Y6FQZE4G,Hardware,MHEYHUFMW5Y6FQZE4G,,,ZOQZ3TZ0UEZBKWAYCJ,Server,,,
API;Software,6JNYLLB94UFWGABJNM,Software,6JNYLLB94UFWGABJNM,,,ZZO0XIRR4VTN95UPJE,API,,,20
