Code,Id,Name,Status
Cables,UOMRQ0RHKKHP2JWIFX,Cables,Active
APIType,LZ2OCBNUVE0ECHGB6Q,API Type,Active
QB2,BF7RPUQCSGBPSZIYRI,QuantumBit2,Active
Server,O1YGOEC03S5HBGB5ZQ,Server,Active
Processor,EQZYZX7YTQ06FGRS8H,Processor,Active
Network_Adapter,ZWB0H94TOJKJGCAVVL,Network_Adapter,Active
Hard_Drive,DDEYJTOXJJ6UHZ4SWZ,Hard_Drive,Active
Memory,GZAMVAXV6VEAZQFM0V,Memory,Active
QB,OFQSEEYCXSNM8L7FKS,QuantumBit,Active
Subscription,YYFRRFWM1LBF0KUCNT,Subscription,Active
Professional_Services_Bundle,KK4DL89MT1R4VLYNLP,Professional_Services_Bundle,Active
Engineering_Resources,EM223AJHNW9TDTFQAP,Engineering_Resources,Active
Software,E1HRYP4NFDVCTZ1HG4,Software,Draft
