$$Name$ParentProduct.Name,Code,CurrencyIsoCode,Description,Id,MaxBundleComponents,MinBundleComponents,Name,ParentProduct.Id,ParentProduct.Name,ParentProductId,Sequence
Training;QuantumBit Starter,,USD,,PK9TQF0EY4LZSZDKIJ,1,1,Training,RYIQFWNBU0EKF5TF7O,QuantumBit Starter,RYIQFWNBU0EKF5TF7O,
Maintenance;QuantumBit Starter,,USD,,4KUH9RVCR8PKIEOMYS,1,1,Maintenance,RYIQFWNBU0EKF5TF7O,QuantumBit Starter,RYIQFWNBU0EKF5TF7O,
Software;QuantumBit Complete Solution,,USD,,CCHRYJRH9PWNC80DRW,,,Software,LISQH1OBWZUZGML4JX,QuantumBit Complete Solution,LISQH1OBWZUZGML4JX,10
Training;QuantumBit Complete Solution,,USD,,XUGZJLW6N3KACFZKRW,,,Training,LISQH1OBWZUZGML4JX,QuantumBit Complete Solution,LISQH1OBWZUZGML4JX,20
Services;QuantumBit Complete Solution,,USD,,QM6IPOMKIFGU1UTGVV,,,Services,LISQH1OBWZUZGML4JX,QuantumBit Complete Solution,LISQH1OBWZUZGML4JX,30
Memory Capacity;PowerSwerve R750 Rack Server,,USD,,RFHOT9NTZVKSJQTCTD,1,1,Memory Capacity,JU2FWEY6BI19Q2HDDQ,PowerSwerve R750 Rack Server,JU2FWEY6BI19Q2HDDQ,2
Hard Drive;PowerSwerve R750 Rack Server,,USD,,H0IQM0C0SEAAEPAXMN,1,1,Hard Drive,JU2FWEY6BI19Q2HDDQ,PowerSwerve R750 Rack Server,JU2FWEY6BI19Q2HDDQ,3
Processor;PowerSwerve R750 Rack Server,,USD,,PZFGHREZGYT8FVPXST,1,1,Processor,JU2FWEY6BI19Q2HDDQ,PowerSwerve R750 Rack Server,JU2FWEY6BI19Q2HDDQ,1
Project_Management;QuantumBit Services Project,Project_Management,USD,,GGBTFM0E6GHBSO9TVL,,,Project_Management,QOOCYUCGGZ6BJDGEBR,QuantumBit Services Project,QOOCYUCGGZ6BJDGEBR,2
Network Adapter;PowerSwerve R750 Rack Server,,USD,,0GO7HWQD0GLWYDSJ38,1,1,Network Adapter,JU2FWEY6BI19Q2HDDQ,PowerSwerve R750 Rack Server,JU2FWEY6BI19Q2HDDQ,4
Engineering_Resources;QuantumBit Services Project,Engineering_Resources,USD,,MFC0YTLMHTNCYQVVRQ,,,Engineering_Resources,QOOCYUCGGZ6BJDGEBR,QuantumBit Services Project,QOOCYUCGGZ6BJDGEBR,1
Solution_Architecture;QuantumBit Services Project,Solution_Architecture,USD,,RHWLOZ6XDL9PLGQXAF,,,Solution_Architecture,QOOCYUCGGZ6BJDGEBR,QuantumBit Services Project,QOOCYUCGGZ6BJDGEBR,3
