AttributeBasedAdjRuleId,AttributeDefinitionId,BooleanValue,DateTimeValue,DateValue,DoubleValue,Errors,Id,IntegerValue,Operator,ProductId,StringValue
12H8N0000000007UAA,0tj8N0000008QM7QAM,,,,,,12F8N0000000001UAA,,equals,01t8N000004chILQAY,Gov
12H8N0000000006UAA,0tj8N0000008QM7QAM,,,,,,12F8N0000000002UAA,,equals,01t8N000004chILQAY,Gov
12H8N0000000005UAA,0tj8N0000008QM7QAM,,,,,,12F8N0000000003UAA,,equals,01t8N000004chILQAY,Flex
12H8N0000000004UAA,0tj8N0000008QM7QAM,,,,,,12F8N0000000004UAA,,equals,01t8N000004chILQAY,Pre-Prod
12H8N0000000003UAA,0tj8N0000008QM7QAM,,,,,,12F8N0000000005UAA,,equals,01t8N000004chILQAY,Prod
12H8N0000000008UAA,0tj8N0000008QM7QAM,,,,,,12F8N0000000006UAA,,equals,01t8N000004chILQAY,Flex
12H8N0000000009UAA,0tj8N0000008QM7QAM,,,,,,12F8N0000000007UAA,,equals,01t8N000004chILQAY,Pre-Prod
12H8N000000000AUAQ,0tj8N0000008QM7QAM,,,,,,12F8N0000000008UAA,,equals,01t8N000004chILQAY,Prod
12H8N0000000002UAA,0tj8N0000008QM7QAM,,,,,,12F8N0000000009UAA,,equals,01t8N000004chILQAY,Prod
12H8N0000000001UAA,0tj8N0000008QM7QAM,,,,,,12F8N000000000AUAQ,,equals,01t8N000004chILQAY,Prod
12H8N000000000BUAQ,0tj8N0000008QM7QAM,,,,,,12F8N000000000BUAQ,,equals,01t8N000004chILQAY,Flex
