Code,Errors,Id,Name
OS,,0v38N0000000001QAA,Operating System
TS,,0v38N0000000002QAA,Tech Specs
Server,,0v38N0000000003QAA,Server
APISpec,,0v38N0000000004QAA,API Specification
Processor,,0v38N0000000005QAA,Processor
Network_Adapter,,0v38N0000000006QAA,Network Adapter
Hard_Drive,,0v38N0000000007QAA,Hard Drive
Memory,,0v38N0000000008QAA,Memory
QB,,0v38N0000000009QAA,QuantumBit
SubscriptionType,,0v38N000000000AQAQ,Subscription Type
Professional_Services_Bundle,,0v38N000000000BQAQ,Professional Services Bundle
Engineering_Resources,,0v38N000000000CQAQ,Engineering Resources
Cables,,0v38N000000000DQAQ,Cables
