Code,DataType,DefaultValue,Description,DeveloperName,Errors,Id,IsActive,Label,Name,PicklistId
Connector_Type,Picklist,,,Connector_Type,,0tj8N0000008QM5QAM,true,Connector Type,Connector_Type,0v58N0000000248QAA
Base_Core_Count,Picklist,4,,Base_Core_Count,,0tj8N0000008QM6QAM,true,Base Core Count,Base_Core_Count,0v58N0000000246QAA
API_Type,Picklist,Flex,,API_Type,,0tj8N0000008QM7QAM,true,API Type,API_Type,0v58N0000000247QAA
Length,Picklist,,,Length,,0tj8N0000008QM8QAM,true,Length,Length,0v58N0000000249QAA
Operating_System,Picklist,Amazon Linux 2,,Operating_System,,0tj8N0000008QM9QAM,true,Operating System,Operating_System,0v58N000000024AQAQ
Server_Configuration,Picklist,Security,,Server_Configuration,,0tj8N0000008QMAQA2,true,Server_Configuration,Server_Configuration,0v58N000000024BQAQ
Resource_Location,Picklist,Onsite,,Resource_Location,,0tj8N0000008QMBQA2,true,Resource_Location,Resource_Location,0v58N000000024CQAQ
Processor_Frequency,Picklist,3.2GHz,,Processor_Frequency,,0tj8N0000008QMCQA2,true,Processor_Frequency,Processor_Frequency,0v58N000000024DQAQ
SubscriptionType,Picklist,,,SubscriptionType,,0tj8N0000008QMDQA2,true,SubscriptionType,SubscriptionType,0v58N000000024EQAQ
Engineering_Options,Picklist,Extended_Care,,Engineering_Options,,0tj8N0000008QMEQA2,true,Engineering_Options,Engineering_Options,0v58N000000024FQAQ
Memory_Config,Picklist,Performance_Optimized,,Memory_Config,,0tj8N0000008QMFQA2,true,Memory_Config,Memory_Config,0v58N000000024GQAQ
Memory_Capacity,Picklist,8GB,,Memory_Capacity,,0tj8N0000008QMGQA2,true,Memory_Capacity,Memory_Capacity,0v58N000000024HQAQ
NIC_Type,Picklist,Direct_Attach,,NIC_Type,,0tj8N0000008QMHQA2,true,NIC_Type,NIC_Type,0v58N000000024IQAQ
HDD_Storage,Picklist,1TB,,HDD_Storage,,0tj8N0000008QMIQA2,true,HDD_Storage,HDD_Storage,0v58N000000024JQAQ
Flows,Number,1000,,Flows,,0tj8N0000008QMJQA2,true,Flows,Flows,
Messages_Million,Number,60,,Messages_Million,,0tj8N0000008QMKQA2,true,Messages (Million),Messages_Million,
Data_Throughput_TB,Number,0,,Data_Throughput_TB,,0tj8N0000008QMLQA2,true,Data Throughput (TB),Data_Throughput_TB,
Notes_and_Assumptions,Text,,,Notes_and_Assumptions,,0tj8N0000008QMMQA2,true,Notes_and_Assumptions,Notes_and_Assumptions,
