Code,DisplayValue,Errors,Id,IsDefault,Name,PicklistId,Sequence,Value
L5-20,L5-20,,0v68N0000000246QAA,false,L5-20,0v58N0000000248QAA,,L5-20
C13toC14,C13 to C14,,0v68N0000000247QAA,true,C13 to C14,0v58N0000000248QAA,,C13 to C14
3ft,3',,0v68N0000000248QAA,true,ThreeFeet,0v58N0000000249QAA,,3
5ft,5',,0v68N0000000249QAA,false,FiveFeet,0v58N0000000249QAA,,5
8ft,8',,0v68N000000024AQAQ,false,EightFeet,0v58N0000000249QAA,,8
C19toC20,C19 to C20,,0v68N000000024BQAQ,false,C19 to C20,0v58N0000000248QAA,,C19 to C20
12ft,12',,0v68N000000024CQAQ,false,TwelveFeet,0v58N0000000249QAA,,12
AL2,Amazon Linux 2,,0v68N000000024DQAQ,true,Amazon Linux 2,0v58N000000024AQAQ,1,Amazon Linux 2
4,4,,0v68N000000024EQAQ,false,Four,0v58N0000000246QAA,2,4
6,6,,0v68N000000024FQAQ,false,Six,0v58N0000000246QAA,3,6
8,8,,0v68N000000024GQAQ,true,Eight,0v58N0000000246QAA,4,8
Flex,Flex,,0v68N000000024HQAQ,true,Flex,0v58N0000000247QAA,1,Flex
Pre-Prod,Pre-Prod,,0v68N000000024IQAQ,false,Pre-Prod,0v58N0000000247QAA,3,Pre-Prod
Gov,Gov,,0v68N000000024JQAQ,false,Gov,0v58N0000000247QAA,2,Gov
REL,Redhat Enterprise Linux,,0v68N000000024KQAQ,false,Redhat Enterprise Linux,0v58N000000024AQAQ,2,Redhat Enterprise Linux
2,2,,0v68N000000024LQAQ,false,Two,0v58N0000000246QAA,1,2
Prod,Prod,,0v68N000000024MQAQ,false,Prod,0v58N0000000247QAA,4,Prod
Onsite,Onsite,,0v68N000000024NQAQ,true,Onsite,0v58N000000024CQAQ,1,Onsite
2.0GHz,2.0GHz,,0v68N000000024OQAQ,false,2.0GHz,0v58N000000024DQAQ,3,2.0GHz
1.7GHz,1.7GHz,,0v68N000000024PQAQ,false,1.7GHz,0v58N000000024DQAQ,2,1.7GHz
Performance_Optimized_with_Sparing,Performance_Optimized_with_Sparing,,0v68N000000024QQAQ,false,Performance_Optimized_with_Sparing,0v58N000000024GQAQ,2,Performance_Optimized_with_Sparing
Security,Security,,0v68N000000024RQAQ,true,Security,0v58N000000024BQAQ,1,Security
2.1GHz,2.1GHz,,0v68N000000024SQAQ,false,2.1GHz,0v58N000000024DQAQ,4,2.1GHz
8GB,8GB,,0v68N000000024TQAQ,true,8GB,0v58N000000024HQAQ,1,8GB
32GB,32GB,,0v68N000000024UQAQ,false,32GB,0v58N000000024HQAQ,3,32GB
Basic,Basic,,0v68N000000024VQAQ,false,Basic,0v58N000000024FQAQ,2,Basic
Value,Value,,0v68N000000024WQAQ,false,Value,0v58N000000024BQAQ,3,Value
Custom,Custom,,0v68N000000024XQAQ,false,Custom,0v58N000000024BQAQ,4,Custom
16GB,16GB,,0v68N000000024YQAQ,false,16GB,0v58N000000024HQAQ,2,16GB
Memory_Mirroring,Memory_Mirroring,,0v68N000000024ZQAQ,false,Memory_Mirroring,0v58N000000024GQAQ,3,Memory_Mirroring
SFP,SFP,,0v68N000000024aQAA,false,SFP,0v58N000000024IQAQ,2,SFP
Evergreen,Evergreen,,0v68N000000024bQAA,true,Evergreen,0v58N000000024EQAQ,1,Evergreen
TermBased,TermBased,,0v68N000000024cQAA,false,TermBased,0v58N000000024EQAQ,2,TermBased
3.2GHz,3.2GHz,,0v68N000000024dQAA,true,3.2GHz,0v58N000000024DQAQ,1,3.2GHz
Performance,Performance,,0v68N000000024eQAA,false,Performance,0v58N000000024BQAQ,2,Performance
Extended_Care,Extended_Care,,0v68N000000024fQAA,true,Extended_Care,0v58N000000024FQAQ,1,Extended_Care
Remote,Remote,,0v68N000000024gQAA,false,Remote,0v58N000000024CQAQ,2,Remote
Performance_Optimized,Performance_Optimized,,0v68N000000024hQAA,true,Performance_Optimized,0v58N000000024GQAQ,1,Performance_Optimized
1TB,1TB,,0v68N000000024iQAA,true,1TB,0v58N000000024JQAQ,1,1TB
8TB,8TB,,0v68N000000024jQAA,false,8TB,0v58N000000024JQAQ,3,8TB
Direct_Attach,Direct_Attach,,0v68N000000024kQAA,true,Direct_Attach,0v58N000000024IQAQ,1,Direct_Attach
Offshore,Offshore,,0v68N000000024lQAA,false,Offshore,0v58N000000024CQAQ,3,Offshore
8TB_Self_Encrypting,8TB_Self_Encrypting,,0v68N000000024mQAA,false,8TB_Self_Encrypting,0v58N000000024JQAQ,4,8TB_Self_Encrypting
4TB,4TB,,0v68N000000024nQAA,false,4TB,0v58N000000024JQAQ,2,4TB
