DataType,Description,Errors,Id,Name,Status
Number,,,0v58N0000000246QAA,Base_Core_Count,Active
Text,,,0v58N0000000247QAA,API_Type,Active
Text,,,0v58N0000000248QAA,Connector_Type,Active
Text,,,0v58N0000000249QAA,Length,Active
Text,,,0v58N000000024AQAQ,Operating_System,Active
Text,,,0v58N000000024BQAQ,Server_Configuration,Active
Text,,,0v58N000000024CQAQ,Resource_Location,Active
Text,,,0v58N000000024DQAQ,Processor_Frequency,Active
Text,,,0v58N000000024EQAQ,SubscriptionType,Active
Text,,,0v58N000000024FQAQ,Engineering_Options,Active
Text,,,0v58N000000024GQAQ,Memory_Config,Active
Text,,,0v58N000000024HQAQ,Memory,Active
Text,,,0v58N000000024IQAQ,NIC_Type,Active
Text,,,0v58N000000024JQAQ,HDD_Storage,Active
