AvailabilityDate,BasedOnId,ConfigureDuringSale,CurrencyIsoCode,Description,Errors,Family,Id,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,StockKeepingUnit,Type
,,,USD,QuantumBit API Experience Hub enables you to create vibrant ecosystems and grow engagement for your API products,,Software,01t8N000004chI8QAI,true,true,false,API Access Requests (AEH),QB-API-REQT,,,
,,,USD,These accessories offer the proper cable management options to meet varying needs.,,Hardware,01t8N000004chI9QAI,true,true,false,Cable Management Rings (Qty 10),QB-CMPC-5881,,,
,,,USD,These accessories offer the proper cable management options to meet varying needs.,,Hardware,01t8N000004chIAQAY,true,true,false,"Vertical Cable Organizer, 8 Cable Rings",QB-CMPC-5882,,,
,,,USD,These accessories offer the proper cable management options to meet varying needs.,,Hardware,01t8N000004chIBQAY,true,true,false,Cable Containment Brackets,QB-CMPC-5884,,,
,,,USD,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 6 rack units (U's) for a vertical storage rack.",,Hardware,01t8N000004chICQAY,true,true,false,QuantumShell 6U 600mmx870mm,QB-BMX-1051,,,
,,,USD,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 8 rack units (U's) for a vertical storage rack.",,Hardware,01t8N000004chIDQAY,true,true,false,QuantumShell 8U 600mmx1070mm,QB-BMX-1050,,,
,,,USD,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 10 rack units (U's) for a vertical storage rack.",,Hardware,01t8N000004chIEQAY,true,true,false,QuantumShell 10U 600mmx1200mm,QB-BMX-1053,,,
,,Allowed,USD,The Starter Edition is the introductory offering providing access to core platform functionality. This edition includes all core platform functionality with ...,,Bundle,01t8N000004chIFQAY,true,true,false,QuantumBit Starter,QB-BDL-STND,,,Bundle
,11B8N0000000005UAA,Allowed,USD,"Intel Xeon E5-2660 v4 2.0GHz,35M Cache,9.60GT/s QPI,Turbo,HT,14C/28T (105W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",,Hardware,01t8N000004chIGQAY,true,true,false,Intel Xeon E5-2660 v4 2.0GHz,QB-INTEL E5-2660,Each,,
,11B8N0000000005UAA,Allowed,USD,"Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",,Hardware,01t8N000004chIHQAY,true,true,false,Intel Xeon E5-2667 v4 3.2GHz,QB-INTEL E5-2667,,,
,11B8N0000000005UAA,Allowed,USD,"Intel Xeon E5-2683 v4 2.1GHz,40M Cache,9.60GT/s QPI,Turbo,HT,16C/32T (120W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",,Hardware,01t8N000004chIIQAY,true,true,false,Intel Xeon E5-2683 v4 2.1GHz,QB-INTEL E5-2683,Each,,
,11B8N0000000008UAA,Allowed,USD,32GB RDIMM,,Hardware,01t8N000004chIJQAY,true,true,false,32GB RDIMM,QB-MEM 32GB,Each,,
,11B8N0000000007UAA,Allowed,USD,1TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,,Hardware,01t8N000004chIKQAY,true,true,false,1TB 7.2k RPM NLSAS,QB-HD 1TB,Each,,
,11B8N0000000002UAA,Allowed,USD,,,Software,01t8N000004chILQAY,true,true,false,Additional API,AddAPI,,,
,11B8N0000000003UAA,Allowed,USD,QuantumBit Complete Solution,,Bundle,01t8N000004chIMQAY,true,true,false,QuantumBit Complete Solution,QBCOMPLETE,,,Bundle
,11B8N0000000007UAA,Allowed,USD,4TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,,Hardware,01t8N000004chINQAY,true,true,false,4TB 7.2k RPM NLSAS,QB-HD 4TB,Each,,
,11B8N0000000008UAA,Allowed,USD,8GB RDIMM,,Hardware,01t8N000004chIOQAY,true,true,false,8GB RDIMM,QB-MEM 8GB,Each,,
,11B8N0000000006UAA,Allowed,USD,Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.,,Hardware,01t8N000004chIPQAY,true,true,false,Intel X710 Dual Port 10Gb Direct Attach,QB-NET X710,Each,,
,11B8N0000000001UAA,Allowed,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,,Hardware,01t8N000004chIQQAY,true,true,false,C13 to C14 Power Cable 3',QB-CMPC-5887,,,
,,,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,,Hardware,01t8N000004chIRQAY,true,true,false,C13 to C14 Power Cable 5',QB-CMPC-5888,,,
,,,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,,Hardware,01t8N000004chISQAY,true,true,false,C19 to C20 Power Cable 3',QB-CMPC-5889,,,
,,,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,,Hardware,01t8N000004chITQAY,true,true,false,C19 to C20 Power Cable 5',QB-CMPC-5890,,,
,,,USD,The 12' Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,,Hardware,01t8N000004chIUQAY,true,true,false,L5-20 Input Power Cable 12',QB-CMPC-5891,,,
,,,USD,The 8' Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,,Hardware,01t8N000004chIVQAY,true,true,false,L5-20 Input Power Cable 8',QB-CMPC-5892,,,
,,,USD,"System maintenance, administration, and configuration performed by a certified technician. Also includes 24x7 phone service and monthly on-site check-ups. 20% of hardware.",,Services,01t8N000004chIWQAY,true,true,false,Gold Hardware Maintenance,QB-SUPP-1005,,,
,,,USD,"System maintenance, administration, and configuration performed by a certified technician. 15% of hardware.",,Services,01t8N000004chIXQAY,true,true,false,Silver Hardware Maintenance,QB-SUPP-1000,,,
,,,USD,"Your QuantumBit Automation subscription plan includes a quota of Automation QB Credits that you can use with QB RPA, QB Orchestrator, or a combination of both products. As you use processes to create automations, your total credit quota is depleted. 1 QB Automation Credit = 2 RPA Bot Minutes, 1 QB Automation Credit = 100 RPA API Calls, 1 QB Automation Credit = 50 Orchestrator Tasks",,Software,01t8N000004chIYQAY,true,true,false,Additional Automation QB Credits,QB-AUT-CRED,,,
,,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,,Software,01t8N000004chIZQAY,true,true,false,Additional API Prod,QB-API-PROD,,,
,,,USD,The Enterprise Edition is for companies with large-scale data initiatives looking for more granular enterprise controls. This edition includes all Starter Edition features plus ...,,Bundle,01t8N000004chIaQAI,true,true,false,QuantumBit Enterprise,QB-BDL-ENTR,,,
,,,USD,"The Business Critical Edition offers specialized functionality for highly regulated industries, especially those with sensitive data. The edition includes all features in the Enterprise Edition plus ...",,Bundle,01t8N000004chIbQAI,true,true,false,QuantumBit Business Critical,QB-BDL-CRTL,,,
,,,USD,"With our Fundamentals Training you will read, watch videos, and participate in activities aimed to give hands-on experience with the basics of the tool.",,Services,01t8N000004chIcQAI,true,true,false,QuantumBit Fundamentals Training,QB-TRN-FUND,,,
,,,USD,"With our Essentials Training, you'll get access to live webinars, self-paced learning modules, and powerful analysis tools.",,Services,01t8N000004chIdQAI,true,true,false,QuantumBit Essentials Training,QB-TRN-ESSNTLS,,,
,,,USD,Professional services option to be priced on a per-day basis.,,Services,01t8N000004chIeQAI,true,true,false,Professional Services Daily Rate,QB-SRV-OG-PSH,,,
,,,USD,Implementation managed by in-house professional services with an agreed upon scope of work.,,Services,01t8N000004chIfQAI,true,true,false,Professional Services Scope of Work,QB-SRV-SOW,,,
,11B8N0000000005UAA,Allowed,USD,"Intel Xeon E5-2609 v4 1.7GHz,20M Cache,6.4GT/s QPI,Turbo,HT 8C/8T (85W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",,Hardware,01t8N000004chIgQAI,true,true,false,Intel Xeon E5-2609 v4 1.7GHz,QB-INTEL E5-2609,,,
