CatalogId,Code,Description,Errors,Id,Name,SortOrder
0ZS8N00000006DDWAY,,,,0ZG8N000000079CWAQ,Bundle,10
0ZS8N00000006DEWAY,,,,0ZG8N000000079DWAQ,Accessories,
0ZS8N00000006DDWAY,,,,0ZG8N000000079EWAQ,Licenses,30
0ZS8N00000006DDWAY,,,,0ZG8N000000079FWAQ,Training,40
0ZS8N00000006DDWAY,,,,0ZG8N000000079GWAQ,Maintenance,50
0ZS8N00000006DEWAY,,,,0ZG8N000000079HWAQ,Hardware Maintenance,
0ZS8N00000006DEWAY,,,,0ZG8N000000079IWAQ,Memory,
0ZS8N00000006DEWAY,,,,0ZG8N000000079JWAQ,Network Adapter,
0ZS8N00000006DEWAY,,,,0ZG8N000000079KWAQ,Processor,
0ZS8N00000006DEWAY,,,,0ZG8N000000079LWAQ,Hard Drive,
0ZS8N00000006DDWAY,,,,0ZG8N000000079MWAQ,Subscription,100
0ZS8N00000006DFWAY,,,,0ZG8N000000079NWAQ,Services,
0ZS8N00000006DEWAY,,,,0ZG8N000000079OWAQ,Server,
0ZS8N00000006DDWAY,,,,0ZG8N000000079PWAQ,API,20
