Code,CurrencyIsoCode,Description,Errors,Id,MaxBundleComponents,MinBundleComponents,Name,ParentProductId,Sequence
,USD,,,0y78N0000000001QAA,1,1,Training,01t8N000004chIFQAY,
,USD,,,0y78N0000000002QAA,1,1,Maintenance,01t8N000004chIFQAY,
,USD,,,0y78N0000000003QAA,,,Software,01t8N000004chIMQAY,10
,USD,,,0y78N0000000004QAA,,,Training,01t8N000004chIMQAY,20
,USD,,,0y78N0000000005QAA,,,Services,01t8N000004chIMQAY,30
,USD,,,0y78N0000000006QAA,1,1,Memory Capacity,01t8N000004chIhQAI,2
,USD,,,0y78N0000000007QAA,1,1,Hard Drive,01t8N000004chIhQAI,3
,USD,,,0y78N0000000008QAA,1,1,Processor,01t8N000004chIhQAI,1
Project_Management,USD,,,0y78N0000000009QAA,,,Project_Management,01t8N000004chInQAI,2
,USD,,,0y78N000000000AQAQ,1,1,Network Adapter,01t8N000004chIhQAI,4
Engineering_Resources,USD,,,0y78N000000000BQAQ,,,Engineering_Resources,01t8N000004chInQAI,1
Solution_Architecture,USD,,,0y78N000000000CQAQ,,,Solution_Architecture,01t8N000004chInQAI,3
