$$Pricebook2.Name$Product2.Name$ProductSellingModel.Name,IsActive,Name,Pricebook2.$$Name$IsStandard,Product2.Name,ProductSellingModel.$$Name$SellingModelType,UnitPrice
Standard Price Book;Subscription;Term Monthly,true,Subscription,Standard Price Book;true,Subscription,Term Monthly;TermDefined,30
Standard Price Book;Intel Xeon E5-2609 v4 1.7GHz;One-Time,true,Intel Xeon E5-2609 v4 1.7GHz,Standard Price Book;true,Intel Xeon E5-2609 v4 1.7GHz,One-Time;OneTime,1499
Standard Price Book;PowerSwerve R750 Rack Server;One-Time,true,PowerSwerve R750 Rack Server,Standard Price Book;true,PowerSwerve R750 Rack Server,One-Time;OneTime,3899
Standard Price Book;16GB RDIMM;One-Time,true,16GB RDIMM,Standard Price Book;true,16GB RDIMM,One-Time;OneTime,599
Standard Price Book;8TB 7.2k RPM NLSAS;One-Time,true,8TB 7.2k RPM NLSAS,Standard Price Book;true,8TB 7.2k RPM NLSAS,One-Time;OneTime,999
Standard Price Book;8TB 7.2k RPM Self-Encrypting NLSAS;One-Time,true,8TB 7.2k RPM Self-Encrypting NLSAS,Standard Price Book;true,8TB 7.2k RPM Self-Encrypting NLSAS,One-Time;OneTime,1199
Standard Price Book;Intel X710 Dual Port 10Gb SFP;One-Time,true,Intel X710 Dual Port 10Gb SFP,Standard Price Book;true,Intel X710 Dual Port 10Gb SFP,One-Time;OneTime,1599
Standard Price Book;QuantumBit Services Project;One-Time,true,QuantumBit Services Project,Standard Price Book;true,QuantumBit Services Project,One-Time;OneTime,0
Standard Price Book;Implementation Engineer;One-Time,true,Implementation Engineer,Standard Price Book;true,Implementation Engineer,One-Time;OneTime,300
Standard Price Book;Configured Power Cable;One-Time,true,Configured Power Cable,Standard Price Book;true,Configured Power Cable,One-Time;OneTime,249
Standard Price Book;QuantumBit Starter;One-Time,true,QuantumBit Starter,Standard Price Book;true,QuantumBit Starter,One-Time;OneTime,0
Standard Price Book;Intel Xeon E5-2660 v4 2.0GHz;One-Time,true,Intel Xeon E5-2660 v4 2.0GHz,Standard Price Book;true,Intel Xeon E5-2660 v4 2.0GHz,One-Time;OneTime,1699
Standard Price Book;Intel Xeon E5-2667 v4 3.2GHz;One-Time,true,Intel Xeon E5-2667 v4 3.2GHz,Standard Price Book;true,Intel Xeon E5-2667 v4 3.2GHz,One-Time;OneTime,2499
Standard Price Book;QB API Management Solution;Term Annual,true,QB API Management Solution,Standard Price Book;true,QB API Management Solution,Term Annual;TermDefined,12000
Standard Price Book;Intel Xeon E5-2683 v4 2.1GHz;One-Time,true,Intel Xeon E5-2683 v4 2.1GHz,Standard Price Book;true,Intel Xeon E5-2683 v4 2.1GHz,One-Time;OneTime,1399
Standard Price Book;32GB RDIMM;One-Time,true,32GB RDIMM,Standard Price Book;true,32GB RDIMM,One-Time;OneTime,889
Standard Price Book;1TB 7.2k RPM NLSAS;One-Time,true,1TB 7.2k RPM NLSAS,Standard Price Book;true,1TB 7.2k RPM NLSAS,One-Time;OneTime,499
Standard Price Book;Integration Specialist Engineer;One-Time,true,Integration Specialist Engineer,Standard Price Book;true,Integration Specialist Engineer,One-Time;OneTime,350
Standard Price Book;Module Extension Engineer;One-Time,true,Module Extension Engineer,Standard Price Book;true,Module Extension Engineer,One-Time;OneTime,300
Standard Price Book;Quality Assurance Engineer;One-Time,true,Quality Assurance Engineer,Standard Price Book;true,Quality Assurance Engineer,One-Time;OneTime,300
Standard Price Book;Data Normalization Expert;One-Time,true,Data Normalization Expert,Standard Price Book;true,Data Normalization Expert,One-Time;OneTime,300
Standard Price Book;Additional API;Term Annual,true,Additional API,Standard Price Book;true,Additional API,Term Annual;TermDefined,15000
Standard Price Book;Additional API;Term Monthly,true,Additional API,Standard Price Book;true,Additional API,Term Monthly;TermDefined,5000
Standard Price Book;Additional API;Evergreen Monthly,true,Additional API,Standard Price Book;true,Additional API,Evergreen Monthly;Evergreen,4500
Standard Price Book;QuantumBit Complete Solution;Term Annual,true,QuantumBit Complete Solution,Standard Price Book;true,QuantumBit Complete Solution,Term Annual;TermDefined,0
Standard Price Book;4TB 7.2k RPM NLSAS;One-Time,true,4TB 7.2k RPM NLSAS,Standard Price Book;true,4TB 7.2k RPM NLSAS,One-Time;OneTime,799
Standard Price Book;Subscription;Evergreen Monthly,true,Subscription,Standard Price Book;true,Subscription,Evergreen Monthly;Evergreen,35
Standard Price Book;8GB RDIMM;One-Time,true,8GB RDIMM,Standard Price Book;true,8GB RDIMM,One-Time;OneTime,399
Standard Price Book;Intel X710 Dual Port 10Gb Direct Attach;One-Time,true,Intel X710 Dual Port 10Gb Direct Attach,Standard Price Book;true,Intel X710 Dual Port 10Gb Direct Attach,One-Time;OneTime,1599
Standard Price Book;C13 to C14 Power Cable 3';One-Time,true,C13 to C14 Power Cable 3',Standard Price Book;true,C13 to C14 Power Cable 3',One-Time;OneTime,250
