$$Name$Pricebook2.Name$Product2.Name$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,Name,Pricebook2.$$Name$IsStandard,Product2.Name,ProductSellingModel.$$Name$SellingModelType,UnitPrice
16GB RDIMM;Standard Price Book;16GB RDIMM;One-Time;USD,USD,true,16GB RDIMM,Standard Price Book;true,16GB RDIMM,One-Time;OneTime,599
1TB 7.2k RPM NLSAS;Standard Price Book;1TB 7.2k RPM NLSAS;One-Time;USD,USD,true,1TB 7.2k RPM NLSAS,Standard Price Book;true,1TB 7.2k RPM NLSAS,One-Time;OneTime,499
32GB RDIMM;Standard Price Book;32GB RDIMM;One-Time;USD,USD,true,32GB RDIMM,Standard Price Book;true,32GB RDIMM,One-Time;OneTime,889
4TB 7.2k RPM NLSAS;Standard Price Book;4TB 7.2k RPM NLSAS;One-Time;USD,USD,true,4TB 7.2k RPM NLSAS,Standard Price Book;true,4TB 7.2k RPM NLSAS,One-Time;OneTime,799
8GB RDIMM;Standard Price Book;8GB RDIMM;One-Time;USD,USD,true,8GB RDIMM,Standard Price Book;true,8GB RDIMM,One-Time;OneTime,399
8TB 7.2k RPM NLSAS;Standard Price Book;8TB 7.2k RPM NLSAS;One-Time;USD,USD,true,8TB 7.2k RPM NLSAS,Standard Price Book;true,8TB 7.2k RPM NLSAS,One-Time;OneTime,999
8TB 7.2k RPM Self-Encrypting NLSAS;Standard Price Book;8TB 7.2k RPM Self-Encrypting NLSAS;One-Time;USD,USD,true,8TB 7.2k RPM Self-Encrypting NLSAS,Standard Price Book;true,8TB 7.2k RPM Self-Encrypting NLSAS,One-Time;OneTime,1199
Additional API;Standard Price Book;Additional API;Evergreen Monthly;USD,USD,true,Additional API,Standard Price Book;true,Additional API,Evergreen Monthly;Evergreen,2000
Additional API;Standard Price Book;Additional API;Term Annual;USD,USD,true,Additional API,Standard Price Book;true,Additional API,Term Annual;TermDefined,15000
Additional API;Standard Price Book;Additional API;Term Monthly;USD,USD,true,Additional API,Standard Price Book;true,Additional API,Term Monthly;TermDefined,1500
Additional API Flex (100M);Standard Price Book;Additional API Flex (100M);Term Annual;USD,USD,true,Additional API Flex (100M),Standard Price Book;true,Additional API Flex (100M),Term Annual;TermDefined,450
Additional API Gov;Standard Price Book;Additional API Gov;Term Annual;USD,USD,true,Additional API Gov,Standard Price Book;true,Additional API Gov,Term Annual;TermDefined,1450
Additional API Pre-Prod;Standard Price Book;Additional API Pre-Prod;Term Annual;USD,USD,true,Additional API Pre-Prod,Standard Price Book;true,Additional API Pre-Prod,Term Annual;TermDefined,3240
Additional API Prod;Standard Price Book;Additional API Prod;Term Annual;USD,USD,true,Additional API Prod,Standard Price Book;true,Additional API Prod,Term Annual;TermDefined,3240
Additional Automation QB Credits;Standard Price Book;Additional Automation QB Credits;Evergreen Monthly;USD,USD,true,Additional Automation QB Credits,Standard Price Book;true,Additional Automation QB Credits,Evergreen Monthly;Evergreen,2.5
Additional Automation QB Credits;Standard Price Book;Additional Automation QB Credits;Term Annual;USD,USD,true,Additional Automation QB Credits,Standard Price Book;true,Additional Automation QB Credits,Term Annual;TermDefined,25
Additional Automation QB Credits;Standard Price Book;Additional Automation QB Credits;Term Monthly;USD,USD,true,Additional Automation QB Credits,Standard Price Book;true,Additional Automation QB Credits,Term Monthly;TermDefined,2
Additional Data Throughput (TB);Standard Price Book;Additional Data Throughput (TB);Evergreen Monthly;USD,USD,true,Additional Data Throughput (TB),Standard Price Book;true,Additional Data Throughput (TB),Evergreen Monthly;Evergreen,3200
Additional Data Throughput (TB);Standard Price Book;Additional Data Throughput (TB);Term Annual;USD,USD,true,Additional Data Throughput (TB),Standard Price Book;true,Additional Data Throughput (TB),Term Annual;TermDefined,38000
Additional Data Throughput (TB);Standard Price Book;Additional Data Throughput (TB);Term Monthly;USD,USD,true,Additional Data Throughput (TB),Standard Price Book;true,Additional Data Throughput (TB),Term Monthly;TermDefined,3000
Additional Flows - QB Starter;Standard Price Book;Additional Flows - QB Starter;Evergreen Monthly;USD,USD,true,Additional Flows - QB Starter,Standard Price Book;true,Additional Flows - QB Starter,Evergreen Monthly;Evergreen,2000
Additional Flows - QB Starter;Standard Price Book;Additional Flows - QB Starter;Term Annual;USD,USD,true,Additional Flows - QB Starter,Standard Price Book;true,Additional Flows - QB Starter,Term Annual;TermDefined,24000
Additional Flows - QB Starter;Standard Price Book;Additional Flows - QB Starter;Term Monthly;USD,USD,true,Additional Flows - QB Starter,Standard Price Book;true,Additional Flows - QB Starter,Term Monthly;TermDefined,1500
Additional Messages - QB Starter;Standard Price Book;Additional Messages - QB Starter;Evergreen Monthly;USD,USD,true,Additional Messages - QB Starter,Standard Price Book;true,Additional Messages - QB Starter,Evergreen Monthly;Evergreen,3500
Additional Messages - QB Starter;Standard Price Book;Additional Messages - QB Starter;Term Annual;USD,USD,true,Additional Messages - QB Starter,Standard Price Book;true,Additional Messages - QB Starter,Term Annual;TermDefined,30000
Additional Messages - QB Starter;Standard Price Book;Additional Messages - QB Starter;Term Monthly;USD,USD,true,Additional Messages - QB Starter,Standard Price Book;true,Additional Messages - QB Starter,Term Monthly;TermDefined,3000
Additional QB DataGraph (500M);Standard Price Book;Additional QB DataGraph (500M);Term Annual;USD,USD,true,Additional QB DataGraph (500M),Standard Price Book;true,Additional QB DataGraph (500M),Term Annual;TermDefined,25000
API Access Requests (AEH);Standard Price Book;API Access Requests (AEH);Evergreen Monthly;USD,USD,true,API Access Requests (AEH),Standard Price Book;true,API Access Requests (AEH),Evergreen Monthly;Evergreen,5
API Access Requests (AEH);Standard Price Book;API Access Requests (AEH);Term Annual;USD,USD,true,API Access Requests (AEH),Standard Price Book;true,API Access Requests (AEH),Term Annual;TermDefined,45
API Access Requests (AEH);Standard Price Book;API Access Requests (AEH);Term Monthly;USD,USD,true,API Access Requests (AEH),Standard Price Book;true,API Access Requests (AEH),Term Monthly;TermDefined,5
