AttributeBasedAdjRule.Name,AttributeBasedAdjRuleId,AttributeDefinition.Name,AttributeDefinitionId,BooleanValue,DateTimeValue,DateValue,DoubleValue,Id,IntegerValue,Name,Operator,Product.Name,ProductId,StringValue
Rule_1707506403313,12Ha500000010fVEAQ,API_Type,0tja50000000HnIAAU,,,,,12Fa50000000cDNEAY,,00000001,equals,Additional API,01ta5000000A6ioAAC,Gov
Rule_1707507247714,12Ha500000010fXEAQ,API_Type,0tja50000000HnIAAU,,,,,12Fa50000000cDOEAY,,00000002,equals,Additional API,01ta5000000A6ioAAC,Gov
Rule_1707507197535,12Ha500000010fYEAQ,API_Type,0tja50000000HnIAAU,,,,,12Fa50000000cDPEAY,,00000003,equals,Additional API,01ta5000000A6ioAAC,Flex
Rule_1707507229633,12Ha500000010fZEAQ,API_Type,0tja50000000HnIAAU,,,,,12Fa50000000cDQEAY,,00000004,equals,Additional API,01ta5000000A6ioAAC,Pre-Prod
Rule_1707507269131,12Ha500000010faEAA,API_Type,0tja50000000HnIAAU,,,,,12Fa50000000cDREAY,,00000005,equals,Additional API,01ta5000000A6ioAAC,Prod
Rule_1707506330919,12Ha500000010fWEAQ,API_Type,0tja50000000HnIAAU,,,,,12Fa50000000cDSEAY,,00000006,equals,Additional API,01ta5000000A6ioAAC,Flex
Rule_1707506369900,12Ha500000010fbEAA,API_Type,0tja50000000HnIAAU,,,,,12Fa50000000cDTEAY,,00000007,equals,Additional API,01ta5000000A6ioAAC,Pre-Prod
Rule_1707506456305,12Ha500000010fcEAA,API_Type,0tja50000000HnIAAU,,,,,12Fa50000000cDUEAY,,00000008,equals,Additional API,01ta5000000A6ioAAC,Prod
Rule_1708046267454,12Ha500000010fdEAA,API_Type,0tja50000000HnIAAU,,,,,12Fa50000000cDVEAY,,00000009,equals,Additional API,01ta5000000A6ioAAC,Prod
Rule_1708250068983,12Ha500000010h7EAA,API_Type,0tja50000000HnIAAU,,,,,12Fa50000000cEzEAI,,00000010,equals,Additional API,01ta5000000A6ioAAC,Prod
