$$AttributeCategory.Name$AttributeDefinition.Name,AttributeCategory.Name,AttributeCategoryId,AttributeDefinition.Name,AttributeDefinitionId,Id
Cables;Connector Type,Cables,0v3ao000000090UAAQ,Connector Type,0tjao00000013VYAAY,11Eao000000CIvvEAG
Cables;Length,Cables,0v3ao000000090UAAQ,Length,0tjao00000013VXAAY,11Eao000000CIvwEAG
API Specification;API_Type,API Specification,0v3ao000000090HAAQ,API_Type,0tjao00000013VaAAI,11Eao000000CIvxEAG
Tech Specs;Base Core Count,Tech Specs,0v3ao000000090JAAQ,Base Core Count,0tjao00000013VZAAY,11Eao000000CIvyEAG
Operating System;Operating System,Operating System,0v3ao000000090IAAQ,Operating System,0tjao00000013VbAAI,11Eao000000CIvzEAG
Engineering_Resources;Resource_Location,Engineering_Resources,0v3ao000000090SAAQ,Resource_Location,0tjao00000013VdAAI,11Eao000000CIw0EAG
Hard_Drive;HDD_Storage,Hard_Drive,0v3ao000000090NAAQ,HDD_Storage,0tjao00000013VkAAI,11Eao000000CIw1EAG
Processor;Processor_Frequency,Processor,0v3ao000000090LAAQ,Processor_Frequency,0tjao00000013VfAAI,11Eao000000CIw2EAG
Network_Adapter;NIC_Type,Network_Adapter,0v3ao000000090MAAQ,NIC_Type,0tjao00000013VeAAI,11Eao000000CIw3EAG
SubscriptionType;SubscriptionType,SubscriptionType,0v3ao000000090QAAQ,SubscriptionType,0tjao00000013VgAAI,11Eao000000CIw4EAG
QuantumBit;Flows,QuantumBit,0v3ao000000090PAAQ,Flows,0tjao00000013VpAAI,11Eao000000CIw5EAG
QuantumBit;Data Throughput (TB),QuantumBit,0v3ao000000090PAAQ,Data Throughput (TB),0tjao00000013VrAAI,11Eao000000CIw6EAG
QuantumBit;Messages (Million),QuantumBit,0v3ao000000090PAAQ,Messages (Million),0tjao00000013VqAAI,11Eao000000CIw7EAG
Server;Server_Configuration,Server,0v3ao000000090KAAQ,Server_Configuration,0tjao00000013VcAAI,11Eao000000CIw8EAG
Engineering_Resources;Engineering_Options,Engineering_Resources,0v3ao000000090SAAQ,Engineering_Options,0tjao00000013VhAAI,11Eao000000CIw9EAG
Professional_Services_Bundle;Notes_and_Assumptions,Professional_Services_Bundle,0v3ao000000090RAAQ,Notes_and_Assumptions,0tjao00000013VsAAI,11Eao000000CIwAEAW
Memory;Memory_Capacity,Memory,0v3ao000000090OAAQ,Memory_Capacity,0tjao00000013VjAAI,11Eao000000CIwBEAW
Memory;Memory_Config,Memory,0v3ao000000090OAAQ,Memory_Config,0tjao00000013ViAAI,11Eao000000CIwCEAW
