DataType,Description,Id,Name,Status
Text,,0v5ao0000001H0dAAE,Length,Active
Text,,0v5ao0000001H0eAAE,Connector Type,Active
Number,,0v5ao0000001H0fAAE,Base Core Count,Active
Text,,0v5ao0000001H0gAAE,API Type,Active
Text,,0v5ao0000001H0hAAE,Operating System,Active
Text,,0v5ao0000001H0iAAE,Server Configuration,Active
Text,,0v5ao0000001H0jAAE,Resource_Location,Active
Text,,0v5ao0000001H0kAAE,NIC_Type,Active
Text,,0v5ao0000001H0lAAE,Processor_Frequency,Active
Text,,0v5ao0000001H0mAAE,SubscriptionType,Active
Text,,0v5ao0000001H0nAAE,Engineering_Options,Active
Text,,0v5ao0000001H0oAAE,Memory_Config,Active
Text,,0v5ao0000001H0pAAE,Memory,Active
Text,,0v5ao0000001H0qAAE,HDD_Storage,Active
