$$Pricebook2.Name$Product2.Name$ProductSellingModel.Name,Id,IsActive,Name,Pricebook2.$$Name$IsStandard,Pricebook2Id,Product2.Name,Product2Id,ProductSellingModel.$$Name$SellingModelType,ProductSellingModelId,UnitPrice
Standard Price Book;Subscription;Term Monthly,01ua50000004WFBAA2,true,Subscription,Standard Price Book;true,01sa50000006tcvAAA,Subscription,01ta5000000A6iTAAS,Term Monthly;TermDefined,0jPa500000003ypEAA,39
Standard Price Book;Subscription;Evergreen Monthly,01ua50000004WFCAA2,true,Subscription,Standard Price Book;true,01sa50000006tcvAAA,Subscription,01ta5000000A6iTAAS,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,29
Standard Price Book;Intel Xeon E5-2609 v4 1.7GHz;One-Time,01ua50000004WFDAA2,true,Intel Xeon E5-2609 v4 1.7GHz,Standard Price Book;true,01sa50000006tcvAAA,Intel Xeon E5-2609 v4 1.7GHz,01ta5000000A6iUAAS,One-Time;OneTime,0jPa500000003yrEAA,1499
Standard Price Book;PowerSwerve R750 Rack Server;One-Time,01ua50000004WFEAA2,true,PowerSwerve R750 Rack Server,Standard Price Book;true,01sa50000006tcvAAA,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,One-Time;OneTime,0jPa500000003yrEAA,3899
Standard Price Book;16GB RDIMM;One-Time,01ua50000004WFFAA2,true,16GB RDIMM,Standard Price Book;true,01sa50000006tcvAAA,16GB RDIMM,01ta5000000A6iWAAS,One-Time;OneTime,0jPa500000003yrEAA,599
Standard Price Book;8TB 7.2k RPM NLSAS;One-Time,01ua50000004WFGAA2,true,8TB 7.2k RPM NLSAS,Standard Price Book;true,01sa50000006tcvAAA,8TB 7.2k RPM NLSAS,01ta5000000A6iXAAS,One-Time;OneTime,0jPa500000003yrEAA,999
Standard Price Book;8TB 7.2k RPM Self-Encrypting NLSAS;One-Time,01ua50000004WFHAA2,true,8TB 7.2k RPM Self-Encrypting NLSAS,Standard Price Book;true,01sa50000006tcvAAA,8TB 7.2k RPM Self-Encrypting NLSAS,01ta5000000A6iYAAS,One-Time;OneTime,0jPa500000003yrEAA,1199
Standard Price Book;Intel X710 Dual Port 10Gb SFP;One-Time,01ua50000004WFIAA2,true,Intel X710 Dual Port 10Gb SFP,Standard Price Book;true,01sa50000006tcvAAA,Intel X710 Dual Port 10Gb SFP,01ta5000000A6iZAAS,One-Time;OneTime,0jPa500000003yrEAA,1599
Standard Price Book;QuantumBit Services Project;One-Time,01ua50000004WFJAA2,true,QuantumBit Services Project,Standard Price Book;true,01sa50000006tcvAAA,QuantumBit Services Project,01ta5000000A6iaAAC,One-Time;OneTime,0jPa500000003yrEAA,0
Standard Price Book;Implementation Engineer;One-Time,01ua50000004WFKAA2,true,Implementation Engineer,Standard Price Book;true,01sa50000006tcvAAA,Implementation Engineer,01ta5000000A6ibAAC,One-Time;OneTime,0jPa500000003yrEAA,300
Standard Price Book;Configured Power Cable;One-Time,01ua50000004WFLAA2,true,Configured Power Cable,Standard Price Book;true,01sa50000006tcvAAA,Configured Power Cable,01ta5000000A6icAAC,One-Time;OneTime,0jPa500000003yrEAA,249
Standard Price Book;QuantumBit Starter;One-Time,01ua50000004WFMAA2,true,QuantumBit Starter,Standard Price Book;true,01sa50000006tcvAAA,QuantumBit Starter,01ta5000000A6idAAC,One-Time;OneTime,0jPa500000003yrEAA,0
Standard Price Book;Intel Xeon E5-2660 v4 2.0GHz;One-Time,01ua50000004WFNAA2,true,Intel Xeon E5-2660 v4 2.0GHz,Standard Price Book;true,01sa50000006tcvAAA,Intel Xeon E5-2660 v4 2.0GHz,01ta5000000A6ieAAC,One-Time;OneTime,0jPa500000003yrEAA,1699
Standard Price Book;Intel Xeon E5-2667 v4 3.2GHz;One-Time,01ua50000004WFOAA2,true,Intel Xeon E5-2667 v4 3.2GHz,Standard Price Book;true,01sa50000006tcvAAA,Intel Xeon E5-2667 v4 3.2GHz,01ta5000000A6ifAAC,One-Time;OneTime,0jPa500000003yrEAA,2499
Standard Price Book;QB API Management Solution;Evergreen Monthly,01ua50000004WFPAA2,true,QB API Management Solution,Standard Price Book;true,01sa50000006tcvAAA,QB API Management Solution,01ta5000000A6igAAC,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,1000
