$$ProductCategory.Name$Product.Name$Catalog.Name,Catalog.Name,CatalogId,Id,Product.Name,ProductCategory.$$Name$Catalog.Name$ParentCategory.Name,ProductCategoryId,ProductId
API;Additional API Gov;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tULGAY,Additional API Gov,API;Software,0ZGa50000000oEXGAY,01ta5000000A6jQAAS
API;Additional API Pre-Prod;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUMGAY,Additional API Pre-Prod,API;Software,0ZGa50000000oEXGAY,01ta5000000A6jPAAS
API;Additional API Prod;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUNGAY,Additional API Prod,API;Software,0ZGa50000000oEXGAY,01ta5000000A6jOAAS
API;API Access Requests (AEH);Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUOGAY,API Access Requests (AEH),API;Software,0ZGa50000000oEXGAY,01ta5000000A6jUAAS
API;Additional API Flex (100M);Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUPGAY,Additional API Flex (100M),API;Software,0ZGa50000000oEXGAY,01ta5000000A6jRAAS
API;Additional Automation QB Credits;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUQGAY,Additional Automation QB Credits,API;Software,0ZGa50000000oEXGAY,01ta5000000A6jNAAS
API;Additional QB DataGraph (500M);Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tURGAY,Additional QB DataGraph (500M),API;Software,0ZGa50000000oEXGAY,01ta5000000A6jTAAS
Hardware Maintenance;Gold Hardware Maintenance;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUSGAY,Gold Hardware Maintenance,Hardware Maintenance;Hardware,0ZGa50000000oEdGAI,01ta5000000A6jBAAS
Hardware Maintenance;Silver Hardware Maintenance;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUTGAY,Silver Hardware Maintenance,Hardware Maintenance;Hardware,0ZGa50000000oEdGAI,01ta5000000A6jGAAS
Bundle;QuantumBit Enterprise;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUUGAY,QuantumBit Enterprise,Bundle;Software,0ZGa50000000oEYGAY,01ta5000000A6jgAAC
Bundle;QuantumBit Business Critical;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUVGAY,QuantumBit Business Critical,Bundle;Software,0ZGa50000000oEYGAY,01ta5000000A6jhAAC
Accessories;L5-20 Input Power Cable 8';Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUWGAY,L5-20 Input Power Cable 8',Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6j7AAC
Accessories;L5-20 Input Power Cable 12';Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUXGAY,L5-20 Input Power Cable 12',Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6j6AAC
Accessories;Cable Management Rings (Qty 10);Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUYGAY,Cable Management Rings (Qty 10),Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6jaAAC
Accessories;C19 to C20 Power Cable 5';Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUZGAY,C19 to C20 Power Cable 5',Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6j5AAC
