$$Name$ParentCategory.Name,Catalog.Name,CatalogId,Code,Description,Id,Name,ParentCategory.$$Name$ParentCategory.Name,ParentCategoryId,SortOrder
API,Software,0ZSal0000000uS2GAI,,,0ZGal0000000uOnGAI,API,,,20
Bundle,Software,0ZSal0000000uS2GAI,,,0ZGal0000000uOoGAI,Bundle,,,10
Accessories,Hardware,0ZSal0000000uS1GAI,,,0ZGal0000000uOpGAI,Accessories,,,
Licenses,Software,0ZSal0000000uS2GAI,,,0ZGal0000000uOqGAI,Licenses,,,30
Training,Software,0ZSal0000000uS2GAI,,,0ZGal0000000uOrGAI,Training,,,40
Maintenance,Software,0ZSal0000000uS2GAI,,,0ZGal0000000uOsGAI,Maintenance,,,50
Hardware Maintenance,Hardware,0ZSal0000000uS1GAI,,,0ZGal0000000uOtGAI,Hardware Maintenance,,,
Memory,Hardware,0ZSal0000000uS1GAI,,,0ZGal0000000uOuGAI,Memory,,,
Network Adapter,Hardware,0ZSal0000000uS1GAI,,,0ZGal0000000uOvGAI,Network Adapter,,,
Processor,Hardware,0ZSal0000000uS1GAI,,,0ZGal0000000uOwGAI,Processor,,,
Hard Drive,Hardware,0ZSal0000000uS1GAI,,,0ZGal0000000uOxGAI,Hard Drive,,,
Subscription,Software,0ZSal0000000uS2GAI,,,0ZGal0000000uOyGAI,Subscription,,,100
Services,Services,0ZSal0000000uS3GAI,,,0ZGal0000000uOzGAI,Services,,,
Server,Hardware,0ZSal0000000uS1GAI,,,0ZGal0000000uP0GAI,Server,,,
