$$ProductClassification.Name$AttributeDefinition.Name$AttributeCategory.Name,AttributeCategory.Name,AttributeCategoryId,AttributeDefinition.Name,AttributeDefinitionId,AttributeNameOverride,DefaultValue,DisplayType,Id,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Name,ProductClassificationId,Sequence,Status
Cables;Connector Type,,,Connector Type,0tja50000000HnGAAU,Connector Type,C13 to C14,,11Ca5000001s0iuEAA,false,false,false,,,,,Connector Type,Cables,11Ba5000000ddntEAA,,Inactive
Cables;Length,,,Length,0tja50000000HnFAAU,Length,3,,11Ca5000001s0ivEAA,false,false,false,,,,,Length,Cables,11Ba5000000ddntEAA,,Active
API Type;API_Type;API Specification,API Specification,0v3a500000002psAAA,API_Type,0tja50000000HnIAAU,API_Type,Flex,,11Ca5000001s0iwEAA,true,false,false,,,,,API Type,API Type,11Ba5000000ddnvEAA,,Active
QuantumBit2;Operating System;Operating System,Operating System,0v3a500000002prAAA,Operating System,0tja50000000HnJAAU,Operating System,Amazon Linux 2,,11Ca5000001s0ixEAA,false,false,false,,,,,Operating System,QuantumBit2,11Ba5000000ddnwEAA,,Active
QuantumBit2;Base Core Count;Tech Specs,Tech Specs,0v3a500000002pqAAA,Base Core Count,0tja50000000HnHAAU,Base Core Count,4,,11Ca5000001s0iyEAA,false,false,false,,,,,Base Core Count,QuantumBit2,11Ba5000000ddnwEAA,,Active
Server;Server_Configuration;Server,Server,0v3a500000002pvAAA,Server_Configuration,0tja50000000HnKAAU,Server_Configuration,Security,,11Ca5000001s0izEAA,false,false,false,,,,,Server_Configuration,Server,11Ba5000000ddnxEAA,,Active
Processor;Processor_Frequency;Processor,Processor,0v3a500000002ptAAA,Processor_Frequency,0tja50000000HnNAAU,Processor_Frequency,3.2GHz,,11Ca5000001s0j0EAA,false,false,false,,,,,Processor_Frequency,Processor,11Ba5000000ddo1EAA,,Active
Network_Adapter;NIC_Type;Network_Adapter,Network_Adapter,0v3a500000002puAAA,NIC_Type,0tja50000000HnMAAU,NIC_Type,Direct_Attach,,11Ca5000001s0j1EAA,false,false,false,,,,,NIC_Type,Network_Adapter,11Ba5000000ddo0EAA,,Active
Hard_Drive;HDD_Storage;Hard_Drive,Hard_Drive,0v3a500000002q1AAA,HDD_Storage,0tja50000000HnXAAU,HDD_Storage,1TB,,11Ca5000001s0j2EAA,false,false,false,,,,,HDD_Storage,Hard_Drive,11Ba5000000ddnyEAA,,Active
Memory;Memory_Config;Memory,Memory,0v3a500000002q0AAA,Memory_Config,0tja50000000HnVAAU,Memory_Config,Performance_Optimized,,11Ca5000001s0j3EAA,false,false,false,,,,,Memory_Config,Memory,11Ba5000000ddnzEAA,,Active
Memory;Memory_Capacity;Memory,Memory,0v3a500000002q0AAA,Memory_Capacity,0tja50000000HnWAAU,Memory_Capacity,8GB,,11Ca5000001s0j4EAA,false,false,false,,,,,Memory_Capacity,Memory,11Ba5000000ddnzEAA,,Active
QuantumBit;Flows;QuantumBit,QuantumBit,0v3a500000002pxAAA,Flows,0tja50000000HnOAAU,Flows,1000,,11Ca5000001s0j5EAA,true,false,false,,,,,Flows,QuantumBit,11Ba5000000ddo5EAA,,Active
QuantumBit;Messages (Million);QuantumBit,QuantumBit,0v3a500000002pxAAA,Messages (Million),0tja50000000HnRAAU,Messages (Million),60,,11Ca5000001s0j6EAA,true,false,false,,,,,Messages (Million),QuantumBit,11Ba5000000ddo5EAA,,Active
QuantumBit;Data Throughput (TB);QuantumBit,QuantumBit,0v3a500000002pxAAA,Data Throughput (TB),0tja50000000HnSAAU,Data Throughput (TB),0,,11Ca5000001s0j7EAA,true,false,false,,,,,Data Throughput (TB),QuantumBit,11Ba5000000ddo5EAA,,Active
Subscription;SubscriptionType;SubscriptionType,SubscriptionType,0v3a500000002pyAAA,SubscriptionType,0tja50000000HnPAAU,SubscriptionType,Evergreen,,11Ca5000001s0j8EAA,false,false,false,,,,,SubscriptionType,Subscription,11Ba5000000ddo4EAA,,Active
Professional_Services_Bundle;Notes_and_Assumptions;Professional_Services_Bundle,Professional_Services_Bundle,0v3a500000002pzAAA,Notes_and_Assumptions,0tja50000000HnTAAU,Notes_and_Assumptions,,,11Ca5000001s0j9EAA,false,false,false,,,,,Notes_and_Assumptions,Professional_Services_Bundle,11Ba5000000ddo2EAA,,Active
Engineering_Resources;Resource_Location;Engineering_Resources,Engineering_Resources,0v3a500000002pwAAA,Resource_Location,0tja50000000HnLAAU,Resource_Location,Onsite,,11Ca5000001s0jAEAQ,false,false,false,,,,,Resource_Location,Engineering_Resources,11Ba5000000ddo3EAA,,Active
Engineering_Resources;Engineering_Options;Engineering_Resources,Engineering_Resources,0v3a500000002pwAAA,Engineering_Options,0tja50000000HnUAAU,Engineering_Options,Extended_Care,,11Ca5000001s0jBEAQ,false,false,false,,,,,Engineering_Options,Engineering_Resources,11Ba5000000ddo3EAA,,Active
