Code,Id,Name,Status
Cables,11Ba5000000ddntEAA,Cables,Active
Software,11Ba5000000ddnuEAA,Software,Draft
APIType,11Ba5000000ddnvEAA,API Type,Active
QB2,11Ba5000000ddnwEAA,QuantumBit2,Active
Server,11Ba5000000ddnxEAA,Server,Active
Hard_Drive,11Ba5000000ddnyEAA,Hard_Drive,Active
Memory,11Ba5000000ddnzEAA,Memory,Active
Network_Adapter,11Ba5000000ddo0EAA,Network_Adapter,Active
Processor,11Ba5000000ddo1EAA,Processor,Active
Professional_Services_Bundle,11Ba5000000ddo2EAA,Professional_Services_Bundle,Active
Engineering_Resources,11Ba5000000ddo3EAA,Engineering_Resources,Active
Subscription,11Ba5000000ddo4EAA,Subscription,Active
QB,11Ba5000000ddo5EAA,QuantumBit,Active
