$$Product2.Name$ProductSellingModel.Name,Id,IsDefault,Product2.Name,Product2Id,ProductSellingModel.$$Name$SellingModelType,ProductSellingModelId,ProrationPolicy.Name,ProrationPolicyId
Silver Hardware Maintenance;Term Annual,0iOa50000000421EAA,true,Silver Hardware Maintenance,01ta5000000A6jGAAS,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
QuantumBit Fundamentals Training;One-Time,0iOa50000000422EAA,true,QuantumBit Fundamentals Training,01ta5000000A6jjAAC,One-Time;OneTime,0jPa500000003yrEAA,,
C13 to C14 Power Cable 3';One-Time,0iOa50000000423EAA,true,C13 to C14 Power Cable 3',01ta5000000A6j2AAC,One-Time;OneTime,0jPa500000003yrEAA,,
QuantumBit Essentials Training;One-Time,0iOa50000000424EAA,true,QuantumBit Essentials Training,01ta5000000A6jkAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Additional API Flex (100M);Term Annual,0iOa50000000425EAA,true,Additional API Flex (100M),01ta5000000A6jRAAS,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
Additional API Gov;Term Annual,0iOa50000000426EAA,true,Additional API Gov,01ta5000000A6jQAAS,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
Additional API Pre-Prod;Term Annual,0iOa50000000427EAA,true,Additional API Pre-Prod,01ta5000000A6jPAAS,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
Additional API Prod;Term Annual,0iOa50000000428EAA,true,Additional API Prod,01ta5000000A6jOAAS,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
Additional Automation QB Credits;Term Annual,0iOa50000000429EAA,false,Additional Automation QB Credits,01ta5000000A6jNAAS,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
Additional QB DataGraph (500M);Term Annual,0iOa5000000042AEAQ,true,Additional QB DataGraph (500M),01ta5000000A6jTAAS,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
API Access Requests (AEH);Term Annual,0iOa5000000042BEAQ,false,API Access Requests (AEH),01ta5000000A6jUAAS,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
Additional Flows - QB Starter;Term Annual,0iOa5000000042CEAQ,false,Additional Flows - QB Starter,01ta5000000A6jIAAS,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
Additional Messages - QB Starter;Term Annual,0iOa5000000042DEAQ,false,Additional Messages - QB Starter,01ta5000000A6jKAAS,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
Additional Data Throughput (TB);Term Annual,0iOa5000000042EEAQ,false,Additional Data Throughput (TB),01ta5000000A6jMAAS,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
QB API Management Solution;Term Annual,0iOa5000000042FEAQ,false,QB API Management Solution,01ta5000000A6igAAC,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
QuantumBit Starter;One-Time,0iOa5000000042GEAQ,true,QuantumBit Starter,01ta5000000A6idAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Gold Hardware Maintenance;Term Annual,0iOa5000000042HEAQ,true,Gold Hardware Maintenance,01ta5000000A6jBAAS,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
Additional API;Term Annual,0iOa5000000042IEAQ,false,Additional API,01ta5000000A6ioAAC,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
QuantumBit Complete Solution;Term Annual,0iOa5000000042JEAQ,true,QuantumBit Complete Solution,01ta5000000A6ipAAC,Term Annual;TermDefined,0jPa500000003yoEAA,Default Proration Policy,0mua5000000054XAAQ
Additional API;Term Monthly,0iOa5000000042KEAQ,true,Additional API,01ta5000000A6ioAAC,Term Monthly;TermDefined,0jPa500000003ypEAA,Default Proration Policy,0mua5000000054XAAQ
Additional API;Evergreen Monthly,0iOa5000000042LEAQ,false,Additional API,01ta5000000A6ioAAC,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,Default Proration Policy,0mua5000000054XAAQ
16GB RDIMM;One-Time,0iOa5000000042MEAQ,true,16GB RDIMM,01ta5000000A6iWAAS,One-Time;OneTime,0jPa500000003yrEAA,,
4TB 7.2k RPM NLSAS;One-Time,0iOa5000000042NEAQ,true,4TB 7.2k RPM NLSAS,01ta5000000A6iqAAC,One-Time;OneTime,0jPa500000003yrEAA,,
8TB 7.2k RPM NLSAS;One-Time,0iOa5000000042OEAQ,true,8TB 7.2k RPM NLSAS,01ta5000000A6iXAAS,One-Time;OneTime,0jPa500000003yrEAA,,
8TB 7.2k RPM Self-Encrypting NLSAS;One-Time,0iOa5000000042PEAQ,true,8TB 7.2k RPM Self-Encrypting NLSAS,01ta5000000A6iYAAS,One-Time;OneTime,0jPa500000003yrEAA,,
QuantumBit Services Project;One-Time,0iOa5000000042QEAQ,true,QuantumBit Services Project,01ta5000000A6iaAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Module Extension Engineer;One-Time,0iOa5000000042REAQ,true,Module Extension Engineer,01ta5000000A6ilAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Program Director;One-Time,0iOa5000000042SEAQ,true,Program Director,01ta5000000A6jsAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Intel Xeon E5-2660 v4 2.0GHz;One-Time,0iOa5000000042TEAQ,true,Intel Xeon E5-2660 v4 2.0GHz,01ta5000000A6ieAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Quality Assurance Engineer;One-Time,0iOa5000000042UEAQ,true,Quality Assurance Engineer,01ta5000000A6imAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Intel X710 Dual Port 10Gb Direct Attach;One-Time,0iOa5000000042VEAQ,true,Intel X710 Dual Port 10Gb Direct Attach,01ta5000000A6isAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Implementation Engineer;One-Time,0iOa5000000042WEAQ,true,Implementation Engineer,01ta5000000A6ibAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Intel Xeon E5-2683 v4 2.1GHz;One-Time,0iOa5000000042XEAQ,true,Intel Xeon E5-2683 v4 2.1GHz,01ta5000000A6ihAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Data Normalization Expert;One-Time,0iOa5000000042YEAQ,true,Data Normalization Expert,01ta5000000A6inAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Intel Xeon E5-2609 v4 1.7GHz;One-Time,0iOa5000000042ZEAQ,true,Intel Xeon E5-2609 v4 1.7GHz,01ta5000000A6iUAAS,One-Time;OneTime,0jPa500000003yrEAA,,
PowerSwerve R750 Rack Server;One-Time,0iOa5000000042aEAA,true,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,One-Time;OneTime,0jPa500000003yrEAA,,
8GB RDIMM;One-Time,0iOa5000000042bEAA,true,8GB RDIMM,01ta5000000A6irAAC,One-Time;OneTime,0jPa500000003yrEAA,,
32GB RDIMM;One-Time,0iOa5000000042cEAA,true,32GB RDIMM,01ta5000000A6iiAAC,One-Time;OneTime,0jPa500000003yrEAA,,
1TB 7.2k RPM NLSAS;One-Time,0iOa5000000042dEAA,true,1TB 7.2k RPM NLSAS,01ta5000000A6ijAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Intel X710 Dual Port 10Gb SFP;One-Time,0iOa5000000042eEAA,true,Intel X710 Dual Port 10Gb SFP,01ta5000000A6iZAAS,One-Time;OneTime,0jPa500000003yrEAA,,
Integration Specialist Engineer;One-Time,0iOa5000000042fEAA,true,Integration Specialist Engineer,01ta5000000A6ikAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Solutions Architect;One-Time,0iOa5000000042gEAA,true,Solutions Architect,01ta5000000A6jtAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Configured Power Cable;One-Time,0iOa5000000042hEAA,true,Configured Power Cable,01ta5000000A6icAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Subscription;Evergreen Monthly,0iOa5000000042iEAA,true,Subscription,01ta5000000A6iTAAS,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,Default Proration Policy,0mua5000000054XAAQ
Professional Services Daily Rate;One-Time,0iOa5000000042jEAA,true,Professional Services Daily Rate,01ta5000000A6jmAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Professional Services Scope of Work;One-Time,0iOa5000000042kEAA,true,Professional Services Scope of Work,01ta5000000A6jqAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Subscription;Term Monthly,0iOa5000000042lEAA,false,Subscription,01ta5000000A6iTAAS,Term Monthly;TermDefined,0jPa500000003ypEAA,Default Proration Policy,0mua5000000054XAAQ
Intel Xeon E5-2667 v4 3.2GHz;One-Time,0iOa5000000042mEAA,true,Intel Xeon E5-2667 v4 3.2GHz,01ta5000000A6ifAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Project Manager;One-Time,0iOa5000000042nEAA,true,Project Manager,01ta5000000A6juAAC,One-Time;OneTime,0jPa500000003yrEAA,,
QB API Management Solution;Evergreen Monthly,0iOa5000000042oEAA,false,QB API Management Solution,01ta5000000A6igAAC,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,Default Proration Policy,0mua5000000054XAAQ
QuantumBit Complete Solution;Evergreen Monthly,0iOa5000000042pEAA,false,QuantumBit Complete Solution,01ta5000000A6ipAAC,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,Default Proration Policy,0mua5000000054XAAQ
API Access Requests (AEH);Term Monthly,0iOa5000000042qEAA,true,API Access Requests (AEH),01ta5000000A6jUAAS,Term Monthly;TermDefined,0jPa500000003ypEAA,Default Proration Policy,0mua5000000054XAAQ
QuantumBit Complete Solution;One-Time,0iOa5000000042rEAA,false,QuantumBit Complete Solution,01ta5000000A6ipAAC,One-Time;OneTime,0jPa500000003yrEAA,,
Additional Messages - QB Starter;Evergreen Monthly,0iOa5000000042tEAA,false,Additional Messages - QB Starter,01ta5000000A6jKAAS,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,Default Proration Policy,0mua5000000054XAAQ
Additional Data Throughput (TB);Evergreen Monthly,0iOa5000000042uEAA,false,Additional Data Throughput (TB),01ta5000000A6jMAAS,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,Default Proration Policy,0mua5000000054XAAQ
Additional Flows - QB Starter;Evergreen Monthly,0iOa5000000042vEAA,false,Additional Flows - QB Starter,01ta5000000A6jIAAS,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,Default Proration Policy,0mua5000000054XAAQ
API Access Requests (AEH);Evergreen Monthly,0iOa5000000042wEAA,false,API Access Requests (AEH),01ta5000000A6jUAAS,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,Default Proration Policy,0mua5000000054XAAQ
Additional Automation QB Credits;Evergreen Monthly,0iOa5000000042xEAA,false,Additional Automation QB Credits,01ta5000000A6jNAAS,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,Default Proration Policy,0mua5000000054XAAQ
Additional Flows - QB Starter;Term Monthly,0iOa5000000042yEAA,true,Additional Flows - QB Starter,01ta5000000A6jIAAS,Term Monthly;TermDefined,0jPa500000003ypEAA,Default Proration Policy,0mua5000000054XAAQ
Additional Data Throughput (TB);Term Monthly,0iOa5000000042zEAA,true,Additional Data Throughput (TB),01ta5000000A6jMAAS,Term Monthly;TermDefined,0jPa500000003ypEAA,Default Proration Policy,0mua5000000054XAAQ
QB API Management Solution;Term Monthly,0iOa5000000043dEAA,true,QB API Management Solution,01ta5000000A6igAAC,Term Monthly;TermDefined,0jPa500000003ypEAA,Default Proration Policy,0mua5000000054XAAQ
QuantumBit Complete Solution;Term Monthly,0iOa5000000045FEAQ,false,QuantumBit Complete Solution,01ta5000000A6ipAAC,Term Monthly;TermDefined,0jPa500000003ypEAA,Default Proration Policy,0mua5000000054XAAQ
Additional Messages - QB Starter;Term Monthly,0iOa5000000046rEAA,true,Additional Messages - QB Starter,01ta5000000A6jKAAS,Term Monthly;TermDefined,0jPa500000003ypEAA,Default Proration Policy,0mua5000000054XAAQ
Additional Automation QB Credits;Term Monthly,0iOa5000000048TEAQ,true,Additional Automation QB Credits,01ta5000000A6jNAAS,Term Monthly;TermDefined,0jPa500000003ypEAA,Default Proration Policy,0mua5000000054XAAQ
