$$AttributeCategory.Name$AttributeDefinition.Name,AttributeCategory.Name,AttributeCategoryId,AttributeDefinition.Name,AttributeDefinitionId,Id
Cables;Connector Type,Cables,0v3al000000009hAAA,Connector Type,0tjal0000000GXqAAM,11Eal0000009dDREAY
Cables;Length,Cables,0v3al000000009hAAA,Length,0tjal0000000GXpAAM,11Eal0000009dDSEAY
API Specification;API_Type,API Specification,0v3al000000009kAAA,API_Type,0tjal0000000GXsAAM,11Eal0000009dDTEAY
Tech Specs;Base Core Count,Tech Specs,0v3al000000009iAAA,Base Core Count,0tjal0000000GXrAAM,11Eal0000009dDUEAY
Operating System;Operating System,Operating System,0v3al000000009jAAA,Operating System,0tjal0000000GXtAAM,11Eal0000009dDVEAY
Engineering_Resources;Resource_Location,Engineering_Resources,0v3al000000009oAAA,Resource_Location,0tjal0000000GXvAAM,11Eal0000009dDWEAY
Hard_Drive;HDD_Storage,Hard_Drive,0v3al000000009tAAA,HDD_Storage,0tjal0000000GY7AAM,11Eal0000009dDXEAY
Processor;Processor_Frequency,Processor,0v3al000000009lAAA,Processor_Frequency,0tjal0000000GXxAAM,11Eal0000009dDYEAY
Network_Adapter;NIC_Type,Network_Adapter,0v3al000000009mAAA,NIC_Type,0tjal0000000GXwAAM,11Eal0000009dDZEAY
SubscriptionType;SubscriptionType,SubscriptionType,0v3al000000009qAAA,SubscriptionType,0tjal0000000GXzAAM,11Eal0000009dDaEAI
QuantumBit;Flows,QuantumBit,0v3al000000009pAAA,Flows,0tjal0000000GXyAAM,11Eal0000009dDbEAI
QuantumBit;Data Throughput (TB),QuantumBit,0v3al000000009pAAA,Data Throughput (TB),0tjal0000000GY2AAM,11Eal0000009dDcEAI
QuantumBit;Messages (Million),QuantumBit,0v3al000000009pAAA,Messages (Million),0tjal0000000GY1AAM,11Eal0000009dDdEAI
Server;Server_Configuration,Server,0v3al000000009nAAA,Server_Configuration,0tjal0000000GXuAAM,11Eal0000009dDeEAI
Engineering_Resources;Engineering_Options,Engineering_Resources,0v3al000000009oAAA,Engineering_Options,0tjal0000000GY4AAM,11Eal0000009dDfEAI
Professional_Services_Bundle;Notes_and_Assumptions,Professional_Services_Bundle,0v3al000000009rAAA,Notes_and_Assumptions,0tjal0000000GY3AAM,11Eal0000009dDgEAI
Memory;Memory_Capacity,Memory,0v3al000000009sAAA,Memory_Capacity,0tjal0000000GY6AAM,11Eal0000009dDhEAI
Memory;Memory_Config,Memory,0v3al000000009sAAA,Memory_Config,0tjal0000000GY5AAM,11Eal0000009dDiEAI
