Code,Id,Name
Cables,0v3al000000009hAAA,Cables
TS,0v3al000000009iAAA,Tech Specs
OS,0v3al000000009jAAA,Operating System
APISpec,0v3al000000009kAAA,API Specification
Processor,0v3al000000009lAAA,Processor
Network_Adapter,0v3al000000009mAAA,Network_Adapter
Server,0v3al000000009nAAA,Server
Engineering_Resources,0v3al000000009oAAA,Engineering_Resources
QB,0v3al000000009pAAA,QuantumBit
SubscriptionType,0v3al000000009qAAA,SubscriptionType
Professional_Services_Bundle,0v3al000000009rAAA,Professional_Services_Bundle
Memory,0v3al000000009sAAA,Memory
Hard_Drive,0v3al000000009tAAA,Hard_Drive
