Code,DataType,DefaultValue,Description,DeveloperName,Id,IsActive,Label,Name,Picklist.Name,PicklistId
,Picklist,,,Length,0tjal0000000GXpAAM,true,Length,Length,Length,0v5al0000000K3ZAAU
,Picklist,,,Connector_Type,0tjal0000000GXqAAM,true,Connector Type,Connector Type,Connector Type,0v5al0000000K3aAAE
,Picklist,4,,Base_Core_Count,0tjal0000000GXrAAM,true,Base Core Count,Base Core Count,Base Core Count,0v5al0000000K3dAAE
,Picklist,Flex,,API_Type,0tjal0000000GXsAAM,true,API Type,API_Type,API Type,0v5al0000000K3cAAE
,Picklist,Amazon Linux 2,,Operating_System,0tjal0000000GXtAAM,true,Operating System,Operating System,Operating System,0v5al0000000K3bAAE
,Picklist,Security,,Server_Configuration,0tjal0000000GXuAAM,true,Server_Configuration,Server_Configuration,Server Configuration,0v5al0000000K3fAAE
,Picklist,Onsite,,Resource_Location,0tjal0000000GXvAAM,true,Resource_Location,Resource_Location,Resource_Location,0v5al0000000K3eAAE
,Picklist,Direct_Attach,,NIC_Type,0tjal0000000GXwAAM,true,NIC_Type,NIC_Type,NIC_Type,0v5al0000000K3kAAE
,Picklist,3.2GHz,,Processor_Frequency,0tjal0000000GXxAAM,true,Processor_Frequency,Processor_Frequency,Processor_Frequency,0v5al0000000K3iAAE
,Number,1000,,Flows,0tjal0000000GXyAAM,true,Flows,Flows,,
,Picklist,,,SubscriptionType,0tjal0000000GXzAAM,true,SubscriptionType,SubscriptionType,SubscriptionType,0v5al0000000K3hAAE
,Text,,,SampleTextDefinition,0tjal0000000GY0AAM,false,SampleTextDefinition,SampleTextDefinition,,
,Number,60,,Messages_Million,0tjal0000000GY1AAM,true,Messages (Million),Messages (Million),,
,Number,0,,Data_Throughput_TB,0tjal0000000GY2AAM,true,Data Throughput (TB),Data Throughput (TB),,
,Text,,,Notes_and_Assumptions,0tjal0000000GY3AAM,true,Notes_and_Assumptions,Notes_and_Assumptions,,
,Picklist,Extended_Care,,Engineering_Options,0tjal0000000GY4AAM,true,Engineering_Options,Engineering_Options,Engineering_Options,0v5al0000000K3jAAE
,Picklist,Performance_Optimized,,Memory_Config,0tjal0000000GY5AAM,true,Memory_Config,Memory_Config,Memory_Config,0v5al0000000K3gAAE
,Picklist,8GB,,Memory_Capacity,0tjal0000000GY6AAM,true,Memory_Capacity,Memory_Capacity,Memory,0v5al0000000K3lAAE
,Picklist,1TB,,HDD_Storage,0tjal0000000GY7AAM,true,HDD_Storage,HDD_Storage,HDD_Storage,0v5al0000000K3mAAE
