$$ProductClassification.Name$AttributeDefinition.Name$AttributeCategory.Name,AttributeCategory.Name,AttributeCategoryId,AttributeDefinition.Name,AttributeDefinitionId,AttributeNameOverride,DefaultValue,DisplayType,Id,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Name,ProductClassificationId,Sequence,Status
Cables;Connector Type,,,Connector Type,0tjal0000000GXqAAM,Connector Type,C13 to C14,,11Cal00000502P8EAI,false,false,false,,,,,Connector Type,Cables,11Bal000001aUevEAE,,Inactive
Cables;Length,,,Length,0tjal0000000GXpAAM,Length,3,,11Cal00000502P9EAI,false,false,false,,,,,Length,Cables,11Bal000001aUevEAE,,Active
API Type;API_Type;API Specification,API Specification,0v3al000000009kAAA,API_Type,0tjal0000000GXsAAM,API_Type,Flex,,11Cal00000502PAEAY,true,false,false,,,,,API Type,API Type,11Bal000001aUexEAE,,Active
QuantumBit2;Operating System;Operating System,Operating System,0v3al000000009jAAA,Operating System,0tjal0000000GXtAAM,Operating System,Amazon Linux 2,,11Cal00000502PBEAY,false,false,false,,,,,Operating System,QuantumBit2,11Bal000001aUeyEAE,,Active
QuantumBit2;Base Core Count;Tech Specs,Tech Specs,0v3al000000009iAAA,Base Core Count,0tjal0000000GXrAAM,Base Core Count,4,,11Cal00000502PCEAY,false,false,false,,,,,Base Core Count,QuantumBit2,11Bal000001aUeyEAE,,Active
Server;Server_Configuration;Server,Server,0v3al000000009nAAA,Server_Configuration,0tjal0000000GXuAAM,Server_Configuration,Security,,11Cal00000502PDEAY,false,false,false,,,,,Server_Configuration,Server,11Bal000001aUezEAE,,Active
Processor;Processor_Frequency;Processor,Processor,0v3al000000009lAAA,Processor_Frequency,0tjal0000000GXxAAM,Processor_Frequency,3.2GHz,,11Cal00000502PEEAY,false,false,false,,,,,Processor_Frequency,Processor,11Bal000001aUf3EAE,,Active
Network_Adapter;NIC_Type;Network_Adapter,Network_Adapter,0v3al000000009mAAA,NIC_Type,0tjal0000000GXwAAM,NIC_Type,Direct_Attach,,11Cal00000502PFEAY,false,false,false,,,,,NIC_Type,Network_Adapter,11Bal000001aUf2EAE,,Active
Hard_Drive;HDD_Storage;Hard_Drive,Hard_Drive,0v3al000000009tAAA,HDD_Storage,0tjal0000000GY7AAM,HDD_Storage,1TB,,11Cal00000502PGEAY,false,false,false,,,,,HDD_Storage,Hard_Drive,11Bal000001aUf0EAE,,Active
Memory;Memory_Config;Memory,Memory,0v3al000000009sAAA,Memory_Config,0tjal0000000GY5AAM,Memory_Config,Performance_Optimized,,11Cal00000502PHEAY,false,false,false,,,,,Memory_Config,Memory,11Bal000001aUf1EAE,,Active
Memory;Memory_Capacity;Memory,Memory,0v3al000000009sAAA,Memory_Capacity,0tjal0000000GY6AAM,Memory_Capacity,8GB,,11Cal00000502PIEAY,false,false,false,,,,,Memory_Capacity,Memory,11Bal000001aUf1EAE,,Active
QuantumBit;Flows;QuantumBit,QuantumBit,0v3al000000009pAAA,Flows,0tjal0000000GXyAAM,Flows,1000,,11Cal00000502PKEAY,true,false,false,,,,,Flows,QuantumBit,11Bal000001aUf7EAE,,Active
QuantumBit;Messages (Million);QuantumBit,QuantumBit,0v3al000000009pAAA,Messages (Million),0tjal0000000GY1AAM,Messages (Million),60,,11Cal00000502PLEAY,true,false,false,,,,,Messages (Million),QuantumBit,11Bal000001aUf7EAE,,Active
QuantumBit;Data Throughput (TB);QuantumBit,QuantumBit,0v3al000000009pAAA,Data Throughput (TB),0tjal0000000GY2AAM,Data Throughput (TB),0,,11Cal00000502PMEAY,true,false,false,,,,,Data Throughput (TB),QuantumBit,11Bal000001aUf7EAE,,Active
Subscription;SubscriptionType;SubscriptionType,SubscriptionType,0v3al000000009qAAA,SubscriptionType,0tjal0000000GXzAAM,SubscriptionType,Evergreen,,11Cal00000502PNEAY,false,false,false,,,,,SubscriptionType,Subscription,11Bal000001aUf6EAE,,Active
Professional_Services_Bundle;Notes_and_Assumptions;Professional_Services_Bundle,Professional_Services_Bundle,0v3al000000009rAAA,Notes_and_Assumptions,0tjal0000000GY3AAM,Notes_and_Assumptions,,,11Cal00000502POEAY,false,false,false,,,,,Notes_and_Assumptions,Professional_Services_Bundle,11Bal000001aUf4EAE,,Active
Engineering_Resources;Resource_Location;Engineering_Resources,Engineering_Resources,0v3al000000009oAAA,Resource_Location,0tjal0000000GXvAAM,Resource_Location,Onsite,,11Cal00000502PPEAY,false,false,false,,,,,Resource_Location,Engineering_Resources,11Bal000001aUf5EAE,,Active
Engineering_Resources;Engineering_Options;Engineering_Resources,Engineering_Resources,0v3al000000009oAAA,Engineering_Options,0tjal0000000GY4AAM,Engineering_Options,Extended_Care,,11Cal00000502PQEAY,false,false,false,,,,,Engineering_Options,Engineering_Resources,11Bal000001aUf5EAE,,Active
