$$Product2.Name$ProductSellingModel.Name,Id,IsDefault,Product2.Name,Product2Id,ProductSellingModel.Name,ProductSellingModelId,ProrationPolicy.Name,ProrationPolicyId
Silver Hardware Maintenance;Term Annual,0iOal00000001TxEAI,true,Silver Hardware Maintenance,01tal000000Vw28AAC,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
QuantumBit Fundamentals Training;One-Time,0iOal00000001TyEAI,true,QuantumBit Fundamentals Training,01tal000000Vw2bAAC,One-Time,0jPal00000001PBEAY,,
C13 to C14 Power Cable 3';One-Time,0iOal00000001TzEAI,true,C13 to C14 Power Cable 3',01tal000000Vw1uAAC,One-Time,0jPal00000001PBEAY,,
QuantumBit Essentials Training;One-Time,0iOal00000001U0EAI,true,QuantumBit Essentials Training,01tal000000Vw2cAAC,One-Time,0jPal00000001PBEAY,,
Additional API Flex (100M);Term Annual,0iOal00000001U1EAI,true,Additional API Flex (100M),01tal000000Vw2JAAS,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
Additional API Gov;Term Annual,0iOal00000001U2EAI,true,Additional API Gov,01tal000000Vw2IAAS,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
Additional API Pre-Prod;Term Annual,0iOal00000001U3EAI,true,Additional API Pre-Prod,01tal000000Vw2HAAS,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
Additional API Prod;Term Annual,0iOal00000001U4EAI,true,Additional API Prod,01tal000000Vw2GAAS,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
Additional Automation QB Credits;Term Annual,0iOal00000001U5EAI,false,Additional Automation QB Credits,01tal000000Vw2FAAS,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
Additional QB DataGraph (500M);Term Annual,0iOal00000001U6EAI,true,Additional QB DataGraph (500M),01tal000000Vw2LAAS,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
API Access Requests (AEH);Term Annual,0iOal00000001U7EAI,false,API Access Requests (AEH),01tal000000Vw2MAAS,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
Additional Flows - QB Starter;Term Annual,0iOal00000001U8EAI,false,Additional Flows - QB Starter,01tal000000Vw2AAAS,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
Additional Messages - QB Starter;Term Annual,0iOal00000001U9EAI,false,Additional Messages - QB Starter,01tal000000Vw2CAAS,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
Additional Data Throughput (TB);Term Annual,0iOal00000001UAEAY,false,Additional Data Throughput (TB),01tal000000Vw2EAAS,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
QB API Management Solution;Term Annual,0iOal00000001UCEAY,false,QB API Management Solution,01tal000000Vw1YAAS,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
QuantumBit Starter;One-Time,0iOal00000001UEEAY,true,QuantumBit Starter,01tal000000Vw1UAAS,One-Time,0jPal00000001PBEAY,,
Gold Hardware Maintenance;Term Annual,0iOal00000001UFEAY,true,Gold Hardware Maintenance,01tal000000Vw23AAC,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
Additional API;Term Annual,0iOal00000001UGEAY,false,Additional API,01tal000000Vw1gAAC,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
