AttributeBasedAdjRuleId,AttributeDefinitionId,BooleanValue,DateTimeValue,DateValue,DoubleValue,Errors,Id,IntegerValue,Operator,ProductId,StringValue
12Hal0000003HpDEAU,0tjal00000019KeAAI,,,,,,12Fal0000001umXEAQ,,equals,01tal000000Vw1gAAC,Gov
12Hal0000003HpCEAU,0tjal00000019KeAAI,,,,,,12Fal0000001umYEAQ,,equals,01tal000000Vw1gAAC,Gov
12Hal0000003HpBEAU,0tjal00000019KeAAI,,,,,,12Fal0000001umZEAQ,,equals,01tal000000Vw1gAAC,Flex
12Hal0000003HpAEAU,0tjal00000019KeAAI,,,,,,12Fal0000001umaEAA,,equals,01tal000000Vw1gAAC,Pre-Prod
12Hal0000003Hp9EAE,0tjal00000019KeAAI,,,,,,12Fal0000001umbEAA,,equals,01tal000000Vw1gAAC,Prod
12Hal0000003HpEEAU,0tjal00000019KeAAI,,,,,,12Fal0000001umcEAA,,equals,01tal000000Vw1gAAC,Flex
12Hal0000003HpFEAU,0tjal00000019KeAAI,,,,,,12Fal0000001umdEAA,,equals,01tal000000Vw1gAAC,Pre-Prod
12Hal0000003HpGEAU,0tjal00000019KeAAI,,,,,,12Fal0000001umeEAA,,equals,01tal000000Vw1gAAC,Prod
12Hal0000003Hp8EAE,0tjal00000019KeAAI,,,,,,12Fal0000001umfEAA,,equals,01tal000000Vw1gAAC,Prod
12Hal0000003Hp7EAE,0tjal00000019KeAAI,,,,,,12Fal0000001umgEAA,,equals,01tal000000Vw1gAAC,Prod
