AttributeCategoryId,AttributeDefinitionId,Errors,Id
0v3al00000007bBAAQ,0tjal00000019KcAAI,,11Eal000000EMa9EAG
0v3al00000007bBAAQ,0tjal00000019KbAAI,,11Eal000000EMaAEAW
0v3al00000007azAAA,0tjal00000019KeAAI,,11Eal000000EMaBEAW
0v3al00000007b1AAA,0tjal00000019KdAAI,,11Eal000000EMaCEAW
0v3al00000007b0AAA,0tjal00000019KfAAI,,11Eal000000EMaDEAW
0v3al00000007bAAAQ,0tjal00000019KhAAI,,11Eal000000EMaEEAW
0v3al00000007b5AAA,0tjal00000019KoAAI,,11Eal000000EMaFEAW
0v3al00000007b3AAA,0tjal00000019KjAAI,,11Eal000000EMaGEAW
0v3al00000007b4AAA,0tjal00000019KiAAI,,11Eal000000EMaHEAW
0v3al00000007b8AAA,0tjal00000019KkAAI,,11Eal000000EMaIEAW
0v3al00000007b7AAA,0tjal00000019KpAAI,,11Eal000000EMaJEAW
0v3al00000007b7AAA,0tjal00000019KrAAI,,11Eal000000EMaKEAW
0v3al00000007b7AAA,0tjal00000019KqAAI,,11Eal000000EMaLEAW
0v3al00000007b2AAA,0tjal00000019KgAAI,,11Eal000000EMaMEAW
0v3al00000007bAAAQ,0tjal00000019KlAAI,,11Eal000000EMaNEAW
0v3al00000007b9AAA,0tjal00000019KsAAI,,11Eal000000EMaOEAW
0v3al00000007b6AAA,0tjal00000019KnAAI,,11Eal000000EMaPEAW
0v3al00000007b6AAA,0tjal00000019KmAAI,,11Eal000000EMaQEAW
