$$AttributeCategory.Name$AttributeDefinition.Name,AttributeCategory.Name,AttributeCategoryId,AttributeDefinition.Name,AttributeDefinitionId,Id
Cables;Connector Type,Cables,0v3al00000001dpAAA,Connector Type,0tjal0000000P9iAAE,11Eal000000AMTtEAO
Cables;Length,Cables,0v3al00000001dpAAA,Length,0tjal0000000P9hAAE,11Eal000000AMTuEAO
API Specification;API_Type,API Specification,0v3al00000001ddAAA,API_Type,0tjal0000000P9kAAE,11Eal000000AMTvEAO
Tech Specs;Base Core Count,Tech Specs,0v3al00000001dfAAA,Base Core Count,0tjal0000000P9jAAE,11Eal000000AMTwEAO
Operating System;Operating System,Operating System,0v3al00000001deAAA,Operating System,0tjal0000000P9lAAE,11Eal000000AMTxEAO
Engineering_Resources;Resource_Location,Engineering_Resources,0v3al00000001doAAA,Resource_Location,0tjal0000000P9nAAE,11Eal000000AMTyEAO
Hard_Drive;HDD_Storage,Hard_Drive,0v3al00000001djAAA,HDD_Storage,0tjal0000000P9uAAE,11Eal000000AMTzEAO
Processor;Processor_Frequency,Processor,0v3al00000001dhAAA,Processor_Frequency,0tjal0000000P9pAAE,11Eal000000AMU0EAO
Network_Adapter;NIC_Type,Network_Adapter,0v3al00000001diAAA,NIC_Type,0tjal0000000P9oAAE,11Eal000000AMU1EAO
SubscriptionType;SubscriptionType,SubscriptionType,0v3al00000001dmAAA,SubscriptionType,0tjal0000000P9qAAE,11Eal000000AMU2EAO
QuantumBit;Flows,QuantumBit,0v3al00000001dlAAA,Flows,0tjal0000000P9wAAE,11Eal000000AMU3EAO
QuantumBit;Data Throughput (TB),QuantumBit,0v3al00000001dlAAA,Data Throughput (TB),0tjal0000000P9yAAE,11Eal000000AMU4EAO
QuantumBit;Messages (Million),QuantumBit,0v3al00000001dlAAA,Messages (Million),0tjal0000000P9xAAE,11Eal000000AMU5EAO
Server;Server_Configuration,Server,0v3al00000001dgAAA,Server_Configuration,0tjal0000000P9mAAE,11Eal000000AMU6EAO
Engineering_Resources;Engineering_Options,Engineering_Resources,0v3al00000001doAAA,Engineering_Options,0tjal0000000P9rAAE,11Eal000000AMU7EAO
Professional_Services_Bundle;Notes_and_Assumptions,Professional_Services_Bundle,0v3al00000001dnAAA,Notes_and_Assumptions,0tjal0000000P9zAAE,11Eal000000AMU8EAO
Memory;Memory_Capacity,Memory,0v3al00000001dkAAA,Memory_Capacity,0tjal0000000P9tAAE,11Eal000000AMU9EAO
Memory;Memory_Config,Memory,0v3al00000001dkAAA,Memory_Config,0tjal0000000P9sAAE,11Eal000000AMUAEA4
