DataType,Description,Id,Name,Status
Text,,0v5al0000000TwTAAU,Length,Active
Text,,0v5al0000000TwUAAU,Connector Type,Active
Number,,0v5al0000000TwVAAU,Base Core Count,Active
Text,,0v5al0000000TwWAAU,API Type,Active
Text,,0v5al0000000TwXAAU,Operating System,Active
Text,,0v5al0000000TwYAAU,Server Configuration,Active
Text,,0v5al0000000TwZAAU,Resource_Location,Active
Text,,0v5al0000000TwaAAE,NIC_Type,Active
Text,,0v5al0000000TwbAAE,Processor_Frequency,Active
Text,,0v5al0000000TwcAAE,SubscriptionType,Active
Text,,0v5al0000000TwdAAE,Engineering_Options,Active
Text,,0v5al0000000TweAAE,Memory_Config,Active
Text,,0v5al0000000TwfAAE,Memory,Active
Text,,0v5al0000000TwgAAE,HDD_Storage,Active
