$$Pricebook2.Name$Product2.Name$ProductSellingModel.Name,Id,IsActive,Name,Pricebook2.Name,Pricebook2Id,Product2.Name,Product2Id,ProductSellingModel.Name,ProductSellingModelId,UnitPrice
Standard Price Book;Subscription;Evergreen Monthly,01ual000000BUSbAAO,true,Subscription,Standard Price Book,01sal000000MSqTAAW,Subscription,01tal000000XG1BAAW,Evergreen Monthly,0jPal000000034OEAQ,29
Standard Price Book;Subscription;Term Monthly,01ual000000BUScAAO,true,Subscription,Standard Price Book,01sal000000MSqTAAW,Subscription,01tal000000XG1BAAW,Term Monthly,0jPal000000034NEAQ,39
Standard Price Book;Intel Xeon E5-2609 v4 1.7GHz;One-Time,01ual000000BUSfAAO,true,Intel Xeon E5-2609 v4 1.7GHz,Standard Price Book,01sal000000MSqTAAW,Intel Xeon E5-2609 v4 1.7GHz,01tal000000XG1CAAW,One-Time,0jPal000000034MEAQ,1499
Standard Price Book;PowerSwerve R750 Rack Server;One-Time,01ual000000BUSgAAO,true,PowerSwerve R750 Rack Server,Standard Price Book,01sal000000MSqTAAW,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,One-Time,0jPal000000034MEAQ,3899
Standard Price Book;16GB RDIMM;One-Time,01ual000000BUShAAO,true,16GB RDIMM,Standard Price Book,01sal000000MSqTAAW,16GB RDIMM,01tal000000XG1EAAW,One-Time,0jPal000000034MEAQ,599
Standard Price Book;8TB 7.2k RPM NLSAS;One-Time,01ual000000BUSiAAO,true,8TB 7.2k RPM NLSAS,Standard Price Book,01sal000000MSqTAAW,8TB 7.2k RPM NLSAS,01tal000000XG1FAAW,One-Time,0jPal000000034MEAQ,999
Standard Price Book;8TB 7.2k RPM Self-Encrypting NLSAS;One-Time,01ual000000BUSjAAO,true,8TB 7.2k RPM Self-Encrypting NLSAS,Standard Price Book,01sal000000MSqTAAW,8TB 7.2k RPM Self-Encrypting NLSAS,01tal000000XG1GAAW,One-Time,0jPal000000034MEAQ,1199
Standard Price Book;Intel X710 Dual Port 10Gb SFP;One-Time,01ual000000BUSkAAO,true,Intel X710 Dual Port 10Gb SFP,Standard Price Book,01sal000000MSqTAAW,Intel X710 Dual Port 10Gb SFP,01tal000000XG1HAAW,One-Time,0jPal000000034MEAQ,1599
Standard Price Book;QuantumBit Services Project;One-Time,01ual000000BUSlAAO,true,QuantumBit Services Project,Standard Price Book,01sal000000MSqTAAW,QuantumBit Services Project,01tal000000XG1IAAW,One-Time,0jPal000000034MEAQ,0
Standard Price Book;Implementation Engineer;One-Time,01ual000000BUSmAAO,true,Implementation Engineer,Standard Price Book,01sal000000MSqTAAW,Implementation Engineer,01tal000000XG1yAAG,One-Time,0jPal000000034MEAQ,300
Standard Price Book;Configured Power Cable;One-Time,01ual000000BUSpAAO,true,Configured Power Cable,Standard Price Book,01sal000000MSqTAAW,Configured Power Cable,01tal000000XG1KAAW,One-Time,0jPal000000034MEAQ,249
Standard Price Book;QuantumBit Starter;One-Time,01ual000000BUSqAAO,true,QuantumBit Starter,Standard Price Book,01sal000000MSqTAAW,QuantumBit Starter,01tal000000XG1LAAW,One-Time,0jPal000000034MEAQ,0
Standard Price Book;Intel Xeon E5-2660 v4 2.0GHz;One-Time,01ual000000BUSsAAO,true,Intel Xeon E5-2660 v4 2.0GHz,Standard Price Book,01sal000000MSqTAAW,Intel Xeon E5-2660 v4 2.0GHz,01tal000000XG1MAAW,One-Time,0jPal000000034MEAQ,1699
