$$Name$ParentCategory.Name,Catalog.Name,CatalogId,Code,Description,Id,Name,ParentCategory.$$Name$ParentCategory.Name,ParentCategoryId,SortOrder
API,Software,0ZSal0000001AuzGAE,,,0ZGal0000001ALVGA2,API,,,20
Bundle,Software,0ZSal0000001AuzGAE,,,0ZGal0000001ALWGA2,Bundle,,,10
Accessories,Hardware,0ZSal0000001Av0GAE,,,0ZGal0000001ALXGA2,Accessories,,,
Licenses,Software,0ZSal0000001AuzGAE,,,0ZGal0000001ALYGA2,Licenses,,,30
Training,Software,0ZSal0000001AuzGAE,,,0ZGal0000001ALZGA2,Training,,,40
Maintenance,Software,0ZSal0000001AuzGAE,,,0ZGal0000001ALaGAM,Maintenance,,,50
Hardware Maintenance,Hardware,0ZSal0000001Av0GAE,,,0ZGal0000001ALbGAM,Hardware Maintenance,,,
Memory,Hardware,0ZSal0000001Av0GAE,,,0ZGal0000001ALcGAM,Memory,,,
Network Adapter,Hardware,0ZSal0000001Av0GAE,,,0ZGal0000001ALdGAM,Network Adapter,,,
Processor,Hardware,0ZSal0000001Av0GAE,,,0ZGal0000001ALeGAM,Processor,,,
Hard Drive,Hardware,0ZSal0000001Av0GAE,,,0ZGal0000001ALfGAM,Hard Drive,,,
Subscription,Software,0ZSal0000001AuzGAE,,,0ZGal0000001ALgGAM,Subscription,,,100
Services,Services,0ZSal0000001Av1GAE,,,0ZGal0000001ALhGAM,Services,,,
Server,Hardware,0ZSal0000001Av0GAE,,,0ZGal0000001ALiGAM,Server,,,
