AttributeCategoryId,AttributeDefinitionId,AttributeNameOverride,DefaultValue,DisplayType,Errors,Id,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassificationId,Sequence,Status
,0tjal00000019KcAAI,Connector Type,C13 to C14,,,11Cal0000085jKrEAI,false,false,false,,,,,Connector Type,11Bal000001aUevEAE,,Inactive
,0tjal00000019KbAAI,Length,3,,,11Cal0000085jKsEAI,false,false,false,,,,,Length,11Bal000001aUevEAE,,Active
0v3al00000007azAAA,0tjal00000019KeAAI,API_Type,Flex,,,11Cal0000085jKtEAI,true,false,false,,,,,API Type,11Bal000001aUexEAE,,Active
0v3al00000007b0AAA,0tjal00000019KfAAI,Operating System,Amazon Linux 2,,,11Cal0000085jKuEAI,false,false,false,,,,,Operating System,11Bal000001aUeyEAE,,Active
0v3al00000007b1AAA,0tjal00000019KdAAI,Base Core Count,4,,,11Cal0000085jKvEAI,false,false,false,,,,,Base Core Count,11Bal000001aUeyEAE,,Active
0v3al00000007b2AAA,0tjal00000019KgAAI,Server_Configuration,Security,,,11Cal0000085jKwEAI,false,false,false,,,,,Server_Configuration,11Bal000001aUezEAE,,Active
0v3al00000007b3AAA,0tjal00000019KjAAI,Processor_Frequency,3.2GHz,,,11Cal0000085jKxEAI,false,false,false,,,,,Processor_Frequency,11Bal000001aUf3EAE,,Active
0v3al00000007b4AAA,0tjal00000019KiAAI,NIC_Type,Direct_Attach,,,11Cal0000085jKyEAI,false,false,false,,,,,NIC_Type,11Bal000001aUf2EAE,,Active
0v3al00000007b5AAA,0tjal00000019KoAAI,HDD_Storage,1TB,,,11Cal0000085jKzEAI,false,false,false,,,,,HDD_Storage,11Bal000001aUf0EAE,,Active
0v3al00000007b6AAA,0tjal00000019KmAAI,Memory_Config,Performance_Optimized,,,11Cal0000085jL0EAI,false,false,false,,,,,Memory_Config,11Bal000001aUf1EAE,,Active
0v3al00000007b6AAA,0tjal00000019KnAAI,Memory_Capacity,8GB,,,11Cal0000085jL1EAI,false,false,false,,,,,Memory_Capacity,11Bal000001aUf1EAE,,Active
0v3al00000007b7AAA,0tjal00000019KpAAI,Flows,1000,,,11Cal0000085jL2EAI,true,false,false,,,,,Flows,11Bal000001aUf7EAE,,Active
0v3al00000007b7AAA,0tjal00000019KqAAI,Messages (Million),60,,,11Cal0000085jL3EAI,true,false,false,,,,,Messages (Million),11Bal000001aUf7EAE,,Active
0v3al00000007b7AAA,0tjal00000019KrAAI,Data Throughput (TB),0,,,11Cal0000085jL4EAI,true,false,false,,,,,Data Throughput (TB),11Bal000001aUf7EAE,,Active
0v3al00000007b8AAA,0tjal00000019KkAAI,SubscriptionType,Evergreen,,,11Cal0000085jL5EAI,false,false,false,,,,,SubscriptionType,11Bal000001aUf6EAE,,Active
0v3al00000007b9AAA,0tjal00000019KsAAI,Notes_and_Assumptions,,,,11Cal0000085jL6EAI,false,false,false,,,,,Notes_and_Assumptions,11Bal000001aUf4EAE,,Active
0v3al00000007bAAAQ,0tjal00000019KhAAI,Resource_Location,Onsite,,,11Cal0000085jL7EAI,false,false,false,,,,,Resource_Location,11Bal000001aUf5EAE,,Active
0v3al00000007bAAAQ,0tjal00000019KlAAI,Engineering_Options,Extended_Care,,,11Cal0000085jL8EAI,false,false,false,,,,,Engineering_Options,11Bal000001aUf5EAE,,Active
