$$ProductClassification.Name$AttributeDefinition.Name$AttributeCategory.Name,AttributeCategory.Name,AttributeCategoryId,AttributeDefinition.Name,AttributeDefinitionId,AttributeNameOverride,DefaultValue,DisplayType,Id,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Name,ProductClassificationId,Sequence,Status
Cables;Connector Type,,,Connector Type,0tjal0000000P9iAAE,Connector Type,C13 to C14,,11Cal000005NC2PEAW,false,false,false,,,,,Connector Type,Cables,11Bal000001iKTBEA2,,Inactive
Cables;Length,,,Length,0tjal0000000P9hAAE,Length,3,,11Cal000005NC2QEAW,false,false,false,,,,,Length,Cables,11Bal000001iKTBEA2,,Active
API Type;API_Type;API Specification,API Specification,0v3al00000001ddAAA,API_Type,0tjal0000000P9kAAE,API_Type,Flex,,11Cal000005NC2REAW,true,false,false,,,,,API Type,API Type,11Bal000001iKTCEA2,,Active
QuantumBit2;Operating System;Operating System,Operating System,0v3al00000001deAAA,Operating System,0tjal0000000P9lAAE,Operating System,Amazon Linux 2,,11Cal000005NC2SEAW,false,false,false,,,,,Operating System,QuantumBit2,11Bal000001iKTDEA2,,Active
QuantumBit2;Base Core Count;Tech Specs,Tech Specs,0v3al00000001dfAAA,Base Core Count,0tjal0000000P9jAAE,Base Core Count,4,,11Cal000005NC2TEAW,false,false,false,,,,,Base Core Count,QuantumBit2,11Bal000001iKTDEA2,,Active
Server;Server_Configuration;Server,Server,0v3al00000001dgAAA,Server_Configuration,0tjal0000000P9mAAE,Server_Configuration,Security,,11Cal000005NC2UEAW,false,false,false,,,,,Server_Configuration,Server,11Bal000001iKTEEA2,,Active
Processor;Processor_Frequency;Processor,Processor,0v3al00000001dhAAA,Processor_Frequency,0tjal0000000P9pAAE,Processor_Frequency,3.2GHz,,11Cal000005NC2VEAW,false,false,false,,,,,Processor_Frequency,Processor,11Bal000001iKTFEA2,,Active
Network_Adapter;NIC_Type;Network_Adapter,Network_Adapter,0v3al00000001diAAA,NIC_Type,0tjal0000000P9oAAE,NIC_Type,Direct_Attach,,11Cal000005NC2WEAW,false,false,false,,,,,NIC_Type,Network_Adapter,11Bal000001iKTGEA2,,Active
Hard_Drive;HDD_Storage;Hard_Drive,Hard_Drive,0v3al00000001djAAA,HDD_Storage,0tjal0000000P9uAAE,HDD_Storage,1TB,,11Cal000005NC2XEAW,false,false,false,,,,,HDD_Storage,Hard_Drive,11Bal000001iKTHEA2,,Active
Memory;Memory_Config;Memory,Memory,0v3al00000001dkAAA,Memory_Config,0tjal0000000P9sAAE,Memory_Config,Performance_Optimized,,11Cal000005NC2YEAW,false,false,false,,,,,Memory_Config,Memory,11Bal000001iKTIEA2,,Active
Memory;Memory_Capacity;Memory,Memory,0v3al00000001dkAAA,Memory_Capacity,0tjal0000000P9tAAE,Memory_Capacity,8GB,,11Cal000005NC2ZEAW,false,false,false,,,,,Memory_Capacity,Memory,11Bal000001iKTIEA2,,Active
Cables;SampleTextDefinition,,,SampleTextDefinition,0tjal0000000P9vAAE,SampleTextDefinition,,,11Cal000005NC2aEAG,false,false,false,,,,,SampleTextDefinition,Cables,11Bal000001iKTBEA2,,Active
QuantumBit;Flows;QuantumBit,QuantumBit,0v3al00000001dlAAA,Flows,0tjal0000000P9wAAE,Flows,1000,,11Cal000005NC2bEAG,true,false,false,,,,,Flows,QuantumBit,11Bal000001iKTJEA2,,Active
QuantumBit;Messages (Million);QuantumBit,QuantumBit,0v3al00000001dlAAA,Messages (Million),0tjal0000000P9xAAE,Messages (Million),60,,11Cal000005NC2cEAG,true,false,false,,,,,Messages (Million),QuantumBit,11Bal000001iKTJEA2,,Active
QuantumBit;Data Throughput (TB);QuantumBit,QuantumBit,0v3al00000001dlAAA,Data Throughput (TB),0tjal0000000P9yAAE,Data Throughput (TB),0,,11Cal000005NC2dEAG,true,false,false,,,,,Data Throughput (TB),QuantumBit,11Bal000001iKTJEA2,,Active
Subscription;SubscriptionType;SubscriptionType,SubscriptionType,0v3al00000001dmAAA,SubscriptionType,0tjal0000000P9qAAE,SubscriptionType,Evergreen,,11Cal000005NC2eEAG,false,false,false,,,,,SubscriptionType,Subscription,11Bal000001iKTKEA2,,Active
Engineering_Resources;Resource_Location;Engineering_Resources,Engineering_Resources,0v3al00000001doAAA,Resource_Location,0tjal0000000P9nAAE,Resource_Location,Onsite,,11Cal000005NC2gEAG,false,false,false,,,,,Resource_Location,Engineering_Resources,11Bal000001iKTMEA2,,Active
Engineering_Resources;Engineering_Options;Engineering_Resources,Engineering_Resources,0v3al00000001doAAA,Engineering_Options,0tjal0000000P9rAAE,Engineering_Options,Extended_Care,,11Cal000005NC2hEAG,false,false,false,,,,,Engineering_Options,Engineering_Resources,11Bal000001iKTMEA2,,Active
