Code,Id,Name,Status
Cables,11Bal000001iKTBEA2,Cables,Active
APIType,11Bal000001iKTCEA2,API Type,Active
QB2,11Bal000001iKTDEA2,QuantumBit2,Active
Server,11Bal000001iKTEEA2,Server,Active
Processor,11Bal000001iKTFEA2,Processor,Active
Network_Adapter,11Bal000001iKTGEA2,Network_Adapter,Active
Hard_Drive,11Bal000001iKTHEA2,Hard_Drive,Active
Memory,11Bal000001iKTIEA2,Memory,Active
QB,11Bal000001iKTJEA2,QuantumBit,Active
Subscription,11Bal000001iKTKEA2,Subscription,Active
Professional_Services_Bundle,11Bal000001iKTLEA2,Professional_Services_Bundle,Active
Engineering_Resources,11Bal000001iKTMEA2,Engineering_Resources,Active
Software,11Bal000001iKTNEA2,Software,Draft
