$$Name$ParentProduct.Name,Code,Description,Id,MaxBundleComponents,MinBundleComponents,Name,ParentProduct.Name,ParentProductId,Sequence
Maintenance;QuantumBit Starter,,,0y7al00000001ddAAA,1,1,Maintenance,QuantumBit Starter,01tal000000XG1LAAW,
Training;QuantumBit Starter,,,0y7al00000001deAAA,1,1,Training,QuantumBit Starter,01tal000000XG1LAAW,
FAMILY;QuantumBit Enterprise TEST,,,0y7al00000001dgAAA,,,FAMILY,QuantumBit Enterprise TEST,01tal000000XG1xAAG,1
Software;QuantumBit Complete Solution,,,0y7al00000001dhAAA,,,Software,QuantumBit Complete Solution,01tal000000XG1SAAW,10
Training;QuantumBit Complete Solution,,,0y7al00000001diAAA,,,Training,QuantumBit Complete Solution,01tal000000XG1SAAW,20
Services;QuantumBit Complete Solution,,,0y7al00000001djAAA,,,Services,QuantumBit Complete Solution,01tal000000XG1SAAW,30
Memory Capacity;PowerSwerve R750 Rack Server,,,0y7al00000001dkAAA,1,1,Memory Capacity,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,2
Hard Drive;PowerSwerve R750 Rack Server,,,0y7al00000001dlAAA,1,1,Hard Drive,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,3
Processor;PowerSwerve R750 Rack Server,,,0y7al00000001dmAAA,1,1,Processor,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,1
Solution_Architecture;QuantumBit Services Project,Solution_Architecture,,0y7al00000001dnAAA,,,Solution_Architecture,QuantumBit Services Project,01tal000000XG1IAAW,3
Project_Management;QuantumBit Services Project,Project_Management,,0y7al00000001doAAA,,,Project_Management,QuantumBit Services Project,01tal000000XG1IAAW,2
Network Adapter;PowerSwerve R750 Rack Server,,,0y7al00000001dpAAA,1,1,Network Adapter,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,4
Engineering_Resources;QuantumBit Services Project,Engineering_Resources,,0y7al00000001dqAAA,,,Engineering_Resources,QuantumBit Services Project,01tal000000XG1IAAW,1
