ChildProductId,ChildSellingModelId,DoesBundlePriceIncludeChild,Errors,Id,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProductId,ParentSellingModelId,ProductComponentGroupId,ProductRelationshipTypeId,Quantity,QuantityScaleMethod,Sequence
01tal000000Vw1gAAC,,false,,0dSal0000001hirEAA,false,false,true,,,01tal000000Vw1hAAC,,0y7al00000008DjAAI,0yoal0000000REjAAM,10,,20
01tal000000Vw1QAAS,,false,,0dSal0000001hisEAA,false,false,false,,,01tal000000Vw1hAAC,,0y7al00000008DlAAI,0yoal0000000REjAAM,1,,50
01tal000000Vw1YAAS,,false,,0dSal0000001hitEAA,false,false,true,,,01tal000000Vw1hAAC,,0y7al00000008DjAAI,0yoal0000000REjAAM,1,,10
01tal000000Vw2AAAS,,false,,0dSal0000001hiuEAA,false,false,true,,,01tal000000Vw1hAAC,,0y7al00000008DjAAI,0yoal0000000REjAAM,5,,40
01tal000000Vw2bAAC,,false,,0dSal0000001hivEAA,false,false,false,,,01tal000000Vw1hAAC,,0y7al00000008DkAAI,0yoal0000000REjAAM,1,Proportional,20
01tal000000Vw2cAAC,,false,,0dSal0000001hiwEAA,false,true,false,,,01tal000000Vw1hAAC,,0y7al00000008DkAAI,0yoal0000000REjAAM,1,Proportional,10
01tal000000Vw2CAAS,,false,,0dSal0000001hixEAA,false,false,true,,,01tal000000Vw1hAAC,,0y7al00000008DjAAI,0yoal0000000REjAAM,5,,30
01tal000000Vw2eAAC,,false,,0dSal0000001hiyEAA,false,true,true,,,01tal000000Vw1hAAC,,0y7al00000008DlAAI,0yoal0000000REjAAM,250,,10
01tal000000Vw2EAAS,,false,,0dSal0000001hizEAA,false,false,true,,,01tal000000Vw1hAAC,,0y7al00000008DjAAI,0yoal0000000REjAAM,5,,50
01tal000000Vw2FAAS,,false,,0dSal0000001hj0EAA,false,false,true,,,01tal000000Vw1hAAC,,0y7al00000008DjAAI,0yoal0000000REjAAM,25,,60
01tal000000Vw2iAAC,,true,,0dSal0000001hj1EAA,false,false,false,,,01tal000000Vw1hAAC,,0y7al00000008DlAAI,0yoal0000000REjAAM,1,Proportional,20
01tal000000Vw2MAAS,,false,,0dSal0000001hj2EAA,false,false,true,,,01tal000000Vw1hAAC,,0y7al00000008DjAAI,0yoal0000000REjAAM,100,,70
01tal000000Vw1aAAC,,true,,0dSal0000001hj3EAA,false,false,false,,,01tal000000Vw1LAAS,,0y7al00000008DmAAI,0yoal0000000REjAAM,1,Proportional,3
01tal000000Vw1bAAC,,true,,0dSal0000001hj4EAA,false,true,false,,,01tal000000Vw1LAAS,,0y7al00000008DnAAI,0yoal0000000REjAAM,1,Proportional,1
01tal000000Vw1iAAC,,true,,0dSal0000001hj5EAA,false,false,false,,,01tal000000Vw1LAAS,,0y7al00000008DnAAI,0yoal0000000REjAAM,1,Proportional,2
01tal000000Vw1jAAC,,true,,0dSal0000001hj6EAA,false,true,false,,,01tal000000Vw1LAAS,,0y7al00000008DmAAI,0yoal0000000REjAAM,1,Proportional,1
01tal000000Vw1kAAC,,true,,0dSal0000001hj7EAA,false,true,false,,,01tal000000Vw1LAAS,,0y7al00000008DrAAI,0yoal0000000REjAAM,1,Proportional,1
01tal000000Vw1KAAS,,true,,0dSal0000001hj8EAA,false,false,false,,,01tal000000Vw1LAAS,,0y7al00000008DoAAI,0yoal0000000REjAAM,1,Proportional,2
01tal000000Vw1MAAS,,true,,0dSal0000001hj9EAA,false,false,false,,,01tal000000Vw1LAAS,,0y7al00000008DmAAI,0yoal0000000REjAAM,1,Proportional,2
01tal000000Vw1NAAS,,true,,0dSal0000001hjAEAQ,false,false,false,,,01tal000000Vw1LAAS,,0y7al00000008DnAAI,0yoal0000000REjAAM,1,Proportional,3
01tal000000Vw1OAAS,,true,,0dSal0000001hjBEAQ,false,false,false,,,01tal000000Vw1LAAS,,0y7al00000008DnAAI,0yoal0000000REjAAM,1,Proportional,4
01tal000000Vw1PAAS,,true,,0dSal0000001hjCEAQ,false,false,false,,,01tal000000Vw1LAAS,,0y7al00000008DrAAI,0yoal0000000REjAAM,1,Proportional,2
01tal000000Vw1VAAS,,true,,0dSal0000001hjDEAQ,false,false,false,,,01tal000000Vw1LAAS,,0y7al00000008DoAAI,0yoal0000000REjAAM,1,Proportional,3
01tal000000Vw1XAAS,,true,,0dSal0000001hjEEAQ,false,true,false,,,01tal000000Vw1LAAS,,0y7al00000008DoAAI,0yoal0000000REjAAM,1,Proportional,1
01tal000000Vw1ZAAS,,true,,0dSal0000001hjFEAQ,false,false,false,,,01tal000000Vw1LAAS,,0y7al00000008DoAAI,0yoal0000000REjAAM,1,Proportional,4
01tal000000Vw1cAAC,,false,,0dSal0000001hjGEAQ,false,false,true,,,01tal000000Vw1QAAS,,0y7al00000008DsAAI,0yoal0000000REjAAM,8,,5
01tal000000Vw1dAAC,,false,,0dSal0000001hjHEAQ,false,false,true,,,01tal000000Vw1QAAS,,0y7al00000008DsAAI,0yoal0000000REjAAM,8,,3
01tal000000Vw1eAAC,,false,,0dSal0000001hjIEAQ,false,false,true,,,01tal000000Vw1QAAS,,0y7al00000008DsAAI,0yoal0000000REjAAM,8,,4
01tal000000Vw1fAAC,,false,,0dSal0000001hjJEAQ,false,false,true,,,01tal000000Vw1QAAS,,0y7al00000008DsAAI,0yoal0000000REjAAM,8,,2
01tal000000Vw1RAAS,,false,,0dSal0000001hjKEAQ,false,false,true,,,01tal000000Vw1QAAS,,0y7al00000008DsAAI,0yoal0000000REjAAM,8,,1
01tal000000Vw2kAAC,,false,,0dSal0000001hjLEAQ,false,false,true,,,01tal000000Vw1QAAS,,0y7al00000008DqAAI,0yoal0000000REjAAM,8,,1
01tal000000Vw2lAAC,,false,,0dSal0000001hjMEAQ,false,true,true,,,01tal000000Vw1QAAS,,0y7al00000008DpAAI,0yoal0000000REjAAM,8,,1
