$$Product2.Name$ProductSellingModel.Name$ProrationPolicy.Name,Id,IsDefault,Product2.Name,Product2Id,ProductSellingModel.Name,ProductSellingModelId,ProrationPolicy.Name,ProrationPolicyId
Silver Hardware Maintenance;Term Annual;Default Proration Policy,0iOal00000003HFEAY,true,Silver Hardware Maintenance,01tal000000XG1dAAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
QuantumBit Fundamentals Training;One-Time,0iOal00000003HGEAY,true,QuantumBit Fundamentals Training,01tal000000XG1tAAG,One-Time,0jPal000000034MEAQ,,
C13 to C14 Power Cable 3';One-Time,0iOal00000003HHEAY,true,C13 to C14 Power Cable 3',01tal000000XG1WAAW,One-Time,0jPal000000034MEAQ,,
QuantumBit Essentials Training;One-Time,0iOal00000003HIEAY,true,QuantumBit Essentials Training,01tal000000XG1uAAG,One-Time,0jPal000000034MEAQ,,
Additional API Flex (100M);Term Annual;Default Proration Policy,0iOal00000003HJEAY,true,Additional API Flex (100M),01tal000000XG1iAAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
Additional API Gov;Term Annual;Default Proration Policy,0iOal00000003HKEAY,true,Additional API Gov,01tal000000XG1hAAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
Additional API Pre-Prod;Term Annual;Default Proration Policy,0iOal00000003HLEAY,true,Additional API Pre-Prod,01tal000000XG1gAAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
Additional API Prod;Term Annual;Default Proration Policy,0iOal00000003HMEAY,true,Additional API Prod,01tal000000XG1fAAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
Additional Automation QB Credits;Term Annual;Default Proration Policy,0iOal00000003HNEAY,false,Additional Automation QB Credits,01tal000000XG1eAAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
Additional QB DataGraph (500M);Term Annual;Default Proration Policy,0iOal00000003HOEAY,true,Additional QB DataGraph (500M),01tal000000XG1jAAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
API Access Requests (AEH);Term Annual;Default Proration Policy,0iOal00000003HPEAY,false,API Access Requests (AEH),01tal000000XG1kAAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
Additional Flows - QB Starter;Term Annual;Default Proration Policy,0iOal00000003HQEAY,false,Additional Flows - QB Starter,01tal000000XG27AAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
Additional Messages - QB Starter;Term Annual;Default Proration Policy,0iOal00000003HREAY,false,Additional Messages - QB Starter,01tal000000XG28AAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
Additional Data Throughput (TB);Term Annual;Default Proration Policy,0iOal00000003HSEAY,false,Additional Data Throughput (TB),01tal000000XG29AAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
QB API Management Solution;Term Annual;Default Proration Policy,0iOal00000003HUEAY,false,QB API Management Solution,01tal000000XG26AAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
QuantumBit Enterprise TEST;Term Annual;Default Proration Policy,0iOal00000003HVEAY,true,QuantumBit Enterprise TEST,01tal000000XG1xAAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
QuantumBit Starter;One-Time,0iOal00000003HWEAY,true,QuantumBit Starter,01tal000000XG1LAAW,One-Time,0jPal000000034MEAQ,,
Gold Hardware Maintenance;Term Annual;Default Proration Policy,0iOal00000003HXEAY,true,Gold Hardware Maintenance,01tal000000XG1cAAG,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
Additional API;Term Annual;Default Proration Policy,0iOal00000003HYEAY,false,Additional API,01tal000000XG1RAAW,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
QuantumBit Complete Solution;Term Annual;Default Proration Policy,0iOal00000003HZEAY,true,QuantumBit Complete Solution,01tal000000XG1SAAW,Term Annual,0jPal000000034LEAQ,Default Proration Policy,0mual00000006rpAAA
Additional API;Term Monthly;Default Proration Policy,0iOal00000003HaEAI,false,Additional API,01tal000000XG1RAAW,Term Monthly,0jPal000000034NEAQ,Default Proration Policy,0mual00000006rpAAA
Additional API;Evergreen Monthly;Default Proration Policy,0iOal00000003HbEAI,false,Additional API,01tal000000XG1RAAW,Evergreen Monthly,0jPal000000034OEAQ,Default Proration Policy,0mual00000006rpAAA
16GB RDIMM;One-Time,0iOal00000003HcEAI,true,16GB RDIMM,01tal000000XG1EAAW,One-Time,0jPal000000034MEAQ,,
4TB 7.2k RPM NLSAS;One-Time,0iOal00000003HdEAI,true,4TB 7.2k RPM NLSAS,01tal000000XG1TAAW,One-Time,0jPal000000034MEAQ,,
8TB 7.2k RPM NLSAS;One-Time,0iOal00000003HeEAI,true,8TB 7.2k RPM NLSAS,01tal000000XG1FAAW,One-Time,0jPal000000034MEAQ,,
8TB 7.2k RPM Self-Encrypting NLSAS;One-Time,0iOal00000003HfEAI,true,8TB 7.2k RPM Self-Encrypting NLSAS,01tal000000XG1GAAW,One-Time,0jPal000000034MEAQ,,
QuantumBit Services Project;One-Time,0iOal00000003HgEAI,true,QuantumBit Services Project,01tal000000XG1IAAW,One-Time,0jPal000000034MEAQ,,
Module Extension Engineer;One-Time,0iOal00000003HhEAI,true,Module Extension Engineer,01tal000000XG20AAG,One-Time,0jPal000000034MEAQ,,
Program Director;One-Time,0iOal00000003HiEAI,true,Program Director,01tal000000XG23AAG,One-Time,0jPal000000034MEAQ,,
Intel Xeon E5-2660 v4 2.0GHz;One-Time,0iOal00000003HjEAI,true,Intel Xeon E5-2660 v4 2.0GHz,01tal000000XG1MAAW,One-Time,0jPal000000034MEAQ,,
Quality Assurance Engineer;One-Time,0iOal00000003HkEAI,true,Quality Assurance Engineer,01tal000000XG21AAG,One-Time,0jPal000000034MEAQ,,
