AttributeCategoryId,AttributeDefinitionId,Errors,Id
0v3am00000002ppAAA,0tjam0000000PCwAAM,,11Eam0000009d3lEAA
0v3am00000002ppAAA,0tjam0000000PCvAAM,,11Eam0000009d3mEAA
0v3am00000002psAAA,0tjam0000000PCyAAM,,11Eam0000009d3nEAA
0v3am00000002pqAAA,0tjam0000000PCxAAM,,11Eam0000009d3oEAA
0v3am00000002prAAA,0tjam0000000PCzAAM,,11Eam0000009d3pEAA
0v3am00000002pwAAA,0tjam0000000PD1AAM,,11Eam0000009d3qEAA
0v3am00000002q1AAA,0tjam0000000PDDAA2,,11Eam0000009d3rEAA
0v3am00000002ptAAA,0tjam0000000PD3AAM,,11Eam0000009d3sEAA
0v3am00000002puAAA,0tjam0000000PD2AAM,,11Eam0000009d3tEAA
0v3am00000002pyAAA,0tjam0000000PD5AAM,,11Eam0000009d3uEAA
0v3am00000002pxAAA,0tjam0000000PD4AAM,,11Eam0000009d3vEAA
0v3am00000002pxAAA,0tjam0000000PD8AAM,,11Eam0000009d3wEAA
0v3am00000002pxAAA,0tjam0000000PD7AAM,,11Eam0000009d3xEAA
0v3am00000002pvAAA,0tjam0000000PD0AAM,,11Eam0000009d3yEAA
0v3am00000002pwAAA,0tjam0000000PDAAA2,,11Eam0000009d3zEAA
0v3am00000002pzAAA,0tjam0000000PD9AAM,,11Eam0000009d40EAA
0v3am00000002q0AAA,0tjam0000000PDCAA2,,11Eam0000009d41EAA
0v3am00000002q0AAA,0tjam0000000PDBAA2,,11Eam0000009d42EAA
