Code,Errors,Id,Name
Cables,,0v3am00000002ppAAA,Cables
TS,,0v3am00000002pqAAA,Tech Specs
OS,,0v3am00000002prAAA,Operating System
APISpec,,0v3am00000002psAAA,API Specification
Processor,,0v3am00000002ptAAA,Processor
Network_Adapter,,0v3am00000002puAAA,Network_Adapter
Server,,0v3am00000002pvAAA,Server
Engineering_Resources,,0v3am00000002pwAAA,Engineering_Resources
QB,,0v3am00000002pxAAA,QuantumBit
SubscriptionType,,0v3am00000002pyAAA,SubscriptionType
Professional_Services_Bundle,,0v3am00000002pzAAA,Professional_Services_Bundle
Memory,,0v3am00000002q0AAA,Memory
Hard_Drive,,0v3am00000002q1AAA,Hard_Drive
