AttributeCategoryId,AttributeDefinitionId,AttributeNameOverride,DefaultValue,DisplayType,Errors,Id,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassificationId,Sequence,Status
,0tjam0000000PCwAAM,Connector Type,C13 to C14,,,11Cam000005qrTZEAY,false,false,false,,,,,Connector Type,11Bam000001tarxEAA,,Inactive
,0tjam0000000PCvAAM,Length,3,,,11Cam000005qrTaEAI,false,false,false,,,,,Length,11Bam000001tarxEAA,,Active
0v3am00000002psAAA,0tjam0000000PCyAAM,API_Type,Flex,,,11Cam000005qrTbEAI,true,false,false,,,,,API Type,11Bam000001tarzEAA,,Active
0v3am00000002prAAA,0tjam0000000PCzAAM,Operating System,Amazon Linux 2,,,11Cam000005qrTcEAI,false,false,false,,,,,Operating System,11Bam000001tas0EAA,,Active
0v3am00000002pqAAA,0tjam0000000PCxAAM,Base Core Count,4,,,11Cam000005qrTdEAI,false,false,false,,,,,Base Core Count,11Bam000001tas0EAA,,Active
0v3am00000002pvAAA,0tjam0000000PD0AAM,Server_Configuration,Security,,,11Cam000005qrTeEAI,false,false,false,,,,,Server_Configuration,11Bam000001tas1EAA,,Active
0v3am00000002ptAAA,0tjam0000000PD3AAM,Processor_Frequency,3.2GHz,,,11Cam000005qrTfEAI,false,false,false,,,,,Processor_Frequency,11Bam000001tas5EAA,,Active
0v3am00000002puAAA,0tjam0000000PD2AAM,NIC_Type,Direct_Attach,,,11Cam000005qrTgEAI,false,false,false,,,,,NIC_Type,11Bam000001tas4EAA,,Active
0v3am00000002q1AAA,0tjam0000000PDDAA2,HDD_Storage,1TB,,,11Cam000005qrThEAI,false,false,false,,,,,HDD_Storage,11Bam000001tas2EAA,,Active
0v3am00000002q0AAA,0tjam0000000PDBAA2,Memory_Config,Performance_Optimized,,,11Cam000005qrTiEAI,false,false,false,,,,,Memory_Config,11Bam000001tas3EAA,,Active
0v3am00000002q0AAA,0tjam0000000PDCAA2,Memory_Capacity,8GB,,,11Cam000005qrTjEAI,false,false,false,,,,,Memory_Capacity,11Bam000001tas3EAA,,Active
0v3am00000002pxAAA,0tjam0000000PD4AAM,Flows,1000,,,11Cam000005qrTkEAI,true,false,false,,,,,Flows,11Bam000001tas9EAA,,Active
0v3am00000002pxAAA,0tjam0000000PD7AAM,Messages (Million),60,,,11Cam000005qrTlEAI,true,false,false,,,,,Messages (Million),11Bam000001tas9EAA,,Active
0v3am00000002pxAAA,0tjam0000000PD8AAM,Data Throughput (TB),0,,,11Cam000005qrTmEAI,true,false,false,,,,,Data Throughput (TB),11Bam000001tas9EAA,,Active
0v3am00000002pyAAA,0tjam0000000PD5AAM,SubscriptionType,Evergreen,,,11Cam000005qrTnEAI,false,false,false,,,,,SubscriptionType,11Bam000001tas8EAA,,Active
0v3am00000002pzAAA,0tjam0000000PD9AAM,Notes_and_Assumptions,,,,11Cam000005qrToEAI,false,false,false,,,,,Notes_and_Assumptions,11Bam000001tas6EAA,,Active
0v3am00000002pwAAA,0tjam0000000PD1AAM,Resource_Location,Onsite,,,11Cam000005qrTpEAI,false,false,false,,,,,Resource_Location,11Bam000001tas7EAA,,Active
0v3am00000002pwAAA,0tjam0000000PDAAA2,Engineering_Options,Extended_Care,,,11Cam000005qrTqEAI,false,false,false,,,,,Engineering_Options,11Bam000001tas7EAA,,Active
