Code,Errors,Id,Name,Status
Cables,,11Bam000001tarxEAA,Cables,Active
Software,,11Bam000001taryEAA,Software,Draft
APIType,,11Bam000001tarzEAA,API Type,Active
QB2,,11Bam000001tas0EAA,QuantumBit2,Active
Server,,11Bam000001tas1EAA,Server,Active
Hard_Drive,,11Bam000001tas2EAA,Hard_Drive,Active
Memory,,11Bam000001tas3EAA,Memory,Active
Network_Adapter,,11Bam000001tas4EAA,Network_Adapter,Active
Processor,,11Bam000001tas5EAA,Processor,Active
Professional_Services_Bundle,,11Bam000001tas6EAA,Professional_Services_Bundle,Active
Engineering_Resources,,11Bam000001tas7EAA,Engineering_Resources,Active
Subscription,,11Bam000001tas8EAA,Subscription,Active
QB,,11Bam000001tas9EAA,QuantumBit,Active
