ChildProductId,ChildSellingModelId,DoesBundlePriceIncludeChild,Errors,Id,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProductId,ParentSellingModelId,ProductComponentGroupId,ProductRelationshipTypeId,Quantity,QuantityScaleMethod,Sequence
01tam000000ZjEpAAK,,false,,0dSam0000000ic9EAA,false,false,false,,,01tam000000ZjDjAAK,,0y7am00000002WUAAY,0yoam0000000mELAAY,1,Proportional,
01tam000000ZjEqAAK,,false,,0dSam0000000icAEAQ,false,true,false,,,01tam000000ZjDjAAK,,0y7am00000002WUAAY,0yoam0000000mELAAY,1,Proportional,
01tam000000ZjEHAA0,,false,,0dSam0000000icBEAQ,false,false,false,,,01tam000000ZjDjAAK,,0y7am00000002WTAAY,0yoam0000000mELAAY,1,Proportional,
01tam000000ZjEMAA0,,false,,0dSam0000000icCEAQ,false,true,false,,,01tam000000ZjDjAAK,,0y7am00000002WTAAY,0yoam0000000mELAAY,1,Proportional,
01tam000000ZjEaAAK,,false,,0dSam0000000icDEAQ,false,false,true,,,01tam000000ZjDvAAK,,0y7am00000002WVAAY,0yoam0000000mELAAY,100,,70
01tam000000ZjEqAAK,,false,,0dSam0000000icEEAQ,false,true,false,,,01tam000000ZjDvAAK,,0y7am00000002WWAAY,0yoam0000000mELAAY,1,Proportional,10
01tam000000ZjEpAAK,,false,,0dSam0000000icFEAQ,false,false,false,,,01tam000000ZjDvAAK,,0y7am00000002WWAAY,0yoam0000000mELAAY,1,Proportional,20
01tam000000ZjEsAAK,,false,,0dSam0000000icGEAQ,false,true,true,,,01tam000000ZjDvAAK,,0y7am00000002WXAAY,0yoam0000000mELAAY,250,,10
01tam000000ZjEwAAK,,true,,0dSam0000000icHEAQ,false,false,false,,,01tam000000ZjDvAAK,,0y7am00000002WXAAY,0yoam0000000mELAAY,1,Proportional,20
01tam000000ZjDmAAK,,false,,0dSam0000000icIEAQ,true,true,true,,,01tam000000ZjDvAAK,,0y7am00000002WVAAY,0yoam0000000mELAAY,1,,10
01tam000000ZjEQAA0,,false,,0dSam0000000icJEAQ,false,false,true,,,01tam000000ZjDvAAK,,0y7am00000002WVAAY,0yoam0000000mELAAY,5,,30
01tam000000ZjEOAA0,,false,,0dSam0000000icKEAQ,false,false,true,,,01tam000000ZjDvAAK,,0y7am00000002WVAAY,0yoam0000000mELAAY,5,,40
01tam000000ZjESAA0,,false,,0dSam0000000icLEAQ,false,false,true,,,01tam000000ZjDvAAK,,0y7am00000002WVAAY,0yoam0000000mELAAY,5,,50
01tam000000ZjETAA0,,false,,0dSam0000000icMEAQ,false,false,true,,,01tam000000ZjDvAAK,,0y7am00000002WVAAY,0yoam0000000mELAAY,25,,60
01tam000000ZjDuAAK,,false,,0dSam0000000icNEAQ,true,true,true,,,01tam000000ZjDvAAK,,0y7am00000002WVAAY,0yoam0000000mELAAY,10,,20
01tam000000ZjDhAAK,,false,,0dSam0000000icOEAQ,false,false,true,,,01tam000000ZjDgAAK,,0y7am00000002WeAAI,0yoam0000000mELAAY,8,,1
01tam000000ZjDsAAK,,false,,0dSam0000000icPEAQ,false,false,true,,,01tam000000ZjDgAAK,,0y7am00000002WeAAI,0yoam0000000mELAAY,8,,4
01tam000000ZjDrAAK,,false,,0dSam0000000icQEAQ,false,false,true,,,01tam000000ZjDgAAK,,0y7am00000002WeAAI,0yoam0000000mELAAY,8,,3
01tam000000ZjDqAAK,,false,,0dSam0000000icREAQ,false,false,true,,,01tam000000ZjDgAAK,,0y7am00000002WeAAI,0yoam0000000mELAAY,8,,5
01tam000000ZjDtAAK,,false,,0dSam0000000icSEAQ,false,false,true,,,01tam000000ZjDgAAK,,0y7am00000002WeAAI,0yoam0000000mELAAY,8,,2
01tam000000ZjDgAAK,,false,,0dSam0000000icTEAQ,false,false,false,,,01tam000000ZjDvAAK,,0y7am00000002WXAAY,0yoam0000000mELAAY,1,,50
01tam000000ZjDpAAK,,true,,0dSam0000000icUEAQ,false,true,false,,,01tam000000ZjDbAAK,,0y7am00000002WZAAY,0yoam0000000mELAAY,1,Proportional,1
01tam000000ZjDwAAK,,true,,0dSam0000000icVEAQ,false,false,false,,,01tam000000ZjDbAAK,,0y7am00000002WZAAY,0yoam0000000mELAAY,1,Proportional,2
01tam000000ZjDdAAK,,true,,0dSam0000000icWEAQ,false,false,false,,,01tam000000ZjDbAAK,,0y7am00000002WZAAY,0yoam0000000mELAAY,1,Proportional,3
01tam000000ZjDeAAK,,true,,0dSam0000000icXEAQ,false,false,false,,,01tam000000ZjDbAAK,,0y7am00000002WZAAY,0yoam0000000mELAAY,1,Proportional,4
01tam000000ZjDlAAK,,true,,0dSam0000000icYEAQ,false,true,false,,,01tam000000ZjDbAAK,,0y7am00000002WaAAI,0yoam0000000mELAAY,1,Proportional,1
01tam000000ZjDaAAK,,true,,0dSam0000000icZEAQ,false,false,false,,,01tam000000ZjDbAAK,,0y7am00000002WaAAI,0yoam0000000mELAAY,1,Proportional,2
01tam000000ZjDkAAK,,true,,0dSam0000000icaEAA,false,false,false,,,01tam000000ZjDbAAK,,0y7am00000002WaAAI,0yoam0000000mELAAY,1,Proportional,3
01tam000000ZjDnAAK,,true,,0dSam0000000icbEAA,false,false,false,,,01tam000000ZjDbAAK,,0y7am00000002WaAAI,0yoam0000000mELAAY,1,Proportional,4
01tam000000ZjDyAAK,,true,,0dSam0000000iccEAA,false,true,false,,,01tam000000ZjDbAAK,,0y7am00000002WdAAI,0yoam0000000mELAAY,1,Proportional,1
01tam000000ZjDfAAK,,true,,0dSam0000000icdEAA,false,false,false,,,01tam000000ZjDbAAK,,0y7am00000002WdAAI,0yoam0000000mELAAY,1,Proportional,2
01tam000000ZjEyAAK,,false,,0dSam0000000iceEAA,false,false,true,,,01tam000000ZjDgAAK,,0y7am00000002WcAAI,0yoam0000000mELAAY,8,,1
01tam000000ZjF0AAK,,false,,0dSam0000000icfEAA,true,true,true,,,01tam000000ZjDgAAK,,0y7am00000002WcAAI,0yoam0000000mELAAY,8,,2
01tam000000ZjEzAAK,,false,,0dSam0000000icgEAA,false,true,true,,,01tam000000ZjDgAAK,,0y7am00000002WbAAI,0yoam0000000mELAAY,8,,1
01tam000000ZjDxAAK,,true,,0dSam0000000ichEAA,false,true,false,,,01tam000000ZjDbAAK,,0y7am00000002WYAAY,0yoam0000000mELAAY,1,Proportional,1
01tam000000ZjDcAAK,,true,,0dSam0000000iciEAA,false,false,false,,,01tam000000ZjDbAAK,,0y7am00000002WYAAY,0yoam0000000mELAAY,1,Proportional,2
