Errors,IsActive,Pricebook2Id,Product2Id,ProductSellingModelId,UnitPrice
"Before creating this custom price, create a standard price with the same selling model and currency.",true,01sam000000O4aLAAS,01tam000000ZjDZAA0,0jPam00000004y7EAA,39
"Before creating this custom price, create a standard price with the same selling model and currency.",true,01sam000000O4aLAAS,01tam000000ZjDZAA0,0jPam00000004y5EAA,29
,true,01sam000000O4C9AAK,01tam000000ZjDZAA0,0jPam00000004y7EAA,39
,true,01sam000000O4C9AAK,01tam000000ZjDZAA0,0jPam00000004y5EAA,29
,true,01sam000000O4C9AAK,01tam000000ZjDaAAK,0jPam00000004y9EAA,1499
,true,01sam000000O4C9AAK,01tam000000ZjDbAAK,0jPam00000004y9EAA,3899
,true,01sam000000O4C9AAK,01tam000000ZjDcAAK,0jPam00000004y9EAA,599
,true,01sam000000O4C9AAK,01tam000000ZjDdAAK,0jPam00000004y9EAA,999
,true,01sam000000O4C9AAK,01tam000000ZjDeAAK,0jPam00000004y9EAA,1199
,true,01sam000000O4C9AAK,01tam000000ZjDfAAK,0jPam00000004y9EAA,1599
,true,01sam000000O4C9AAK,01tam000000ZjDgAAK,0jPam00000004y9EAA,0
,true,01sam000000O4C9AAK,01tam000000ZjDhAAK,0jPam00000004y9EAA,300
,true,01sam000000O4C9AAK,01tam000000ZjDiAAK,0jPam00000004y9EAA,249
"Before creating this custom price, create a standard price with the same selling model and currency.",true,01sam000000O4aLAAS,01tam000000ZjDjAAK,0jPam00000004y9EAA,0
,true,01sam000000O4C9AAK,01tam000000ZjDjAAK,0jPam00000004y9EAA,0
,true,01sam000000O4C9AAK,01tam000000ZjDkAAK,0jPam00000004y9EAA,1699
,true,01sam000000O4C9AAK,01tam000000ZjDlAAK,0jPam00000004y9EAA,2499
"Before creating this custom price, create a standard price with the same selling model and currency.",true,01sam000000O4aLAAS,01tam000000ZjDmAAK,0jPam00000004y5EAA,1000
"Before creating this custom price, create a standard price with the same selling model and currency.",true,01sam000000O4aLAAS,01tam000000ZjDmAAK,0jPam00000004y6EAA,120000
,true,01sam000000O4C9AAK,01tam000000ZjDmAAK,0jPam00000004y5EAA,1000
,true,01sam000000O4C9AAK,01tam000000ZjDmAAK,0jPam00000004y6EAA,120000
,true,01sam000000O4C9AAK,01tam000000ZjDnAAK,0jPam00000004y9EAA,1399
,true,01sam000000O4C9AAK,01tam000000ZjDoAAK,0jPam00000004y9EAA,889
,true,01sam000000O4C9AAK,01tam000000ZjDpAAK,0jPam00000004y9EAA,499
,true,01sam000000O4C9AAK,01tam000000ZjDqAAK,0jPam00000004y9EAA,350
,true,01sam000000O4C9AAK,01tam000000ZjDrAAK,0jPam00000004y9EAA,300
,true,01sam000000O4C9AAK,01tam000000ZjDsAAK,0jPam00000004y9EAA,300
,true,01sam000000O4C9AAK,01tam000000ZjDtAAK,0jPam00000004y9EAA,300
,true,01sam000000O4C9AAK,01tam000000ZjDuAAK,0jPam00000004y5EAA,4500
,true,01sam000000O4C9AAK,01tam000000ZjDuAAK,0jPam00000004y7EAA,5000
,true,01sam000000O4C9AAK,01tam000000ZjDuAAK,0jPam00000004y6EAA,48000
"Before creating this custom price, create a standard price with the same selling model and currency.",true,01sam000000O4aLAAS,01tam000000ZjDvAAK,0jPam00000004y9EAA,0
"Before creating this custom price, create a standard price with the same selling model and currency.",true,01sam000000O4aLAAS,01tam000000ZjDvAAK,0jPam00000004y6EAA,0
"Before creating this custom price, create a standard price with the same selling model and currency.",true,01sam000000O4aLAAS,01tam000000ZjDvAAK,0jPam00000004y5EAA,0
